code,content,date
藥華藥,藥華藥:本公司全體董事放棄認購111年度現金增資股數達得認購股數二分之一以上，並洽特定人認購事宜,2022-10-11
藥華藥,藥華藥:本公司111年度現金增資股款催繳公告,2022-10-11
台泥,台泥:公告本公司110年第一次海外無擔保可轉換公司債轉換價格自53.02元調整為52.53元。,2022-10-11
牧東,牧東:公告本公司法人董事之代表人變動,2022-10-11
訊芯-KY,訊芯-KY:代子公司ShunYun Technology Holdings Limited公告新增資金貸與金額達新台幣一千萬元以上且達該公開發行公司最近期財務報表淨值百分之二以上,2022-10-11
台泥,台泥:調整本公司110年度第一次海外無擔保可轉換公司債之轉換價格,2022-10-11
遠傳,遠傳9月營收84.39億元年增13.04% 1—9月達647.83億元,2022-10-11
如興,如興9月營收15.68億元年減14.86% 1—9月達132.28億元,2022-10-11
億杰,億杰9月營收0.23億元年增2.04% 1—9月達1.20億元,2022-10-11
雅茗-KY,雅茗-KY9月營收0.81億元年減28.01% 1—9月達6.39億元,2022-10-11
安國,安國:公告本公司因子公司進行股份轉換而降低重要子公司展匯科技股份有限公司持股比例累積達百分之十以上,2022-10-11
安國,安國:公告本公司董事會決議因子公司進行股份轉換而向關係人取得股權事宜,2022-10-11
皇田,皇田9月營收4.64億元年增23.92% 1—9月達34.10億元,2022-10-11
萬國通,萬國通9月營收2.08億元年增124.99% 1—9月達16.80億元,2022-10-11
大台北,大台北9月營收2.55億元年增13.87% 1—9月達24.40億元,2022-10-11
寶成,寶成9月營收228.79億元年增51.78% 1—9月達2045.78億元,2022-10-11
泰金寶-DR,泰金寶-DR9月營收163.63億元年增75.94% 1—9月達1056.04億元,2022-10-11
霹靂,霹靂9月營收0.33億元年增1.32% 1—9月達2.96億元,2022-10-11
盛弘,盛弘9月營收3.63億元年增0.33% 1—9月達32.18億元,2022-10-11
光菱,光菱9月營收4.12億元年增16.54% 1—9月達32.41億元,2022-10-11
台數科,台數科9月營收3.67億元年增5.56% 1—9月達32.50億元,2022-10-11
京晨科,京晨科9月營收0.13億元年減28.77% 1—9月達1.39億元,2022-10-11
合邦,合邦9月營收0.11億元年增1811.47% 1—9月達0.63億元,2022-10-11
科嘉-KY,科嘉-KY9月營收1.84億元年減30.81% 1—9月達19.55億元,2022-10-11
金麗科,金麗科:有關美國商務部7日宣布一系列針對晶片的新出口管制措施報導乙事之說明,2022-10-11
東台,東台9月營收8.41億元年增34.06% 1—9月達61.02億元,2022-10-11
奇偶,奇偶9月營收1.13億元年增4.89% 1—9月達9.62億元,2022-10-11
精確,精確9月營收2.16億元年增126.77% 1—9月達15.11億元,2022-10-11
台灣大,台灣大9月營收135.85億元年增11.19% 1—9月達1216.05億元,2022-10-11
淘帝-KY,淘帝-KY9月營收1.59億元年減13.2% 1—9月達17.15億元,2022-10-11
誠品生活,誠品生活9月營收4.83億元年增39.65% 1—9月達39.21億元,2022-10-11
統一超,統一超9月營收246.56億元年增12.55% 1—9月達2146.45億元,2022-10-11
三商,三商9月營收366.96億元年增295.85% 1—9月達1882.36億元,2022-10-11
三商壽,三商壽9月營收97.55億元年增12.96% 1—9月達834.11億元,2022-10-11
遠東銀,遠東銀9月營收7.09億元年減20.57% 1—9月達83.59億元,2022-10-11
富驛-KY,富驛-KY9月營收0.04億元年減2.42% 1—9月達0.37億元,2022-10-11
冠西電,冠西電9月營收0.67億元年減73.01% 1—9月達11.85億元,2022-10-11
廷鑫,廷鑫9月營收0.84億元年減64.31% 1—9月達13.83億元,2022-10-11
聯強,聯強9月營收403.05億元年增10.63% 1—9月達3132.18億元,2022-10-11
淇譽電,淇譽電:淇譽電將於111年10月12日召開投資人可參與之重大訊息說明記者會,2022-10-11
利奇,利奇9月營收4.69億元年增26.94% 1—9月達41.38億元,2022-10-11
遠東新,遠東新9月營收230.90億元年增15.11% 1—9月達1998.82億元,2022-10-11
昭輝,昭輝9月營收1.51億元年增13.79% 1—9月達15.18億元,2022-10-11
潤泰新,潤泰新:潤泰創新國際股份有限公司增資發行新股公告,2022-10-11
淇譽電,淇譽電:淇譽電因有重大訊息待公布，經證券櫃檯買賣中心同意自111年10月12日起暫停交易,2022-10-11
遠傳,遠傳:公告遠傳電信股份有限公司民國一一一年九月份營運成績,2022-10-11
聯華,聯華9月營收9.55億元年增14.65% 1—9月達92.93億元,2022-10-11
嘉泥,嘉泥9月營收2.05億元年增1.97% 1—9月達15.94億元,2022-10-11
遠東新,遠東新:本公司受邀參加由匯豐證券於2022/10/12在台北南港展覽館所舉辦HSBC Taiwan Textile Tour,2022-10-11
聯強,聯強:聯強國際及其子公司對Trade Vanguard Global Ltd.背書保證、長期投資及資金貸與餘額合計數達該公開發行公司最近期財務報表淨值百分之三十以上,2022-10-11
