code,content,date
御頂,御頂:本公司董事會決議通過對子公司晶宴生活創意(股)公司背書保證案依公開發行公司資金貸與及背書保證處理準則第二十五條第一項第二款、第三款、第四款辦理。,2022-10-04
御頂,御頂:本公司董事會決議通過對子公司晶宴生活創意(股)公司背書保證案依公開發行公司資金貸與及背書保證處理準則第二十五條第一項第一款辦理。,2022-10-04
樂事綠能,樂事綠能:本公司111年盈餘轉增資新股發放暨上市日期公告,2022-10-04
羅昇,羅昇9月營收2.71億元年減9.71% 1—9月達28.72億元,2022-10-04
合一,合一9月營收0.04億元年減39.55% 1—9月達10.51億元,2022-10-04
鴻準,鴻準9月營收67.60億元年減45.93% 1—9月達603.51億元,2022-10-04
愛山林,愛山林:公告本公司內部稽核主管異動,2022-10-04
唐榮公司,唐榮公司:本公司第十九屆第八次董事會針對與關聯企業台灣車輛(股)公司(以下簡稱台車公司)間之租賃建物所有權無償移轉乙案，審計委員會表示反對意見公告。,2022-10-04
唐榮公司,唐榮公司:本公司第十九屆第八次董事會針對關聯企業台灣車輛(股)公司(以下簡稱台車公司)擬續租原始租賃區域土地乙案，審計委員會表示反對意見公告。,2022-10-04
雄獅,雄獅:公告本公司國內第一次及第二次無擔保轉換公司債111年第3季轉換普通股之情形,2022-10-04
建暐,建暐:本公司國內第三次有擔保轉換公司債於111年度第3季轉換普通股之情形,2022-10-04
遠雄港,遠雄港:依證券交易法第43條之1第1項取得股份申報事項要點辦理公告,2022-10-04
矽力*-KY,矽力*-KY:矽力杰股份有限公司（公司代號：6415）員工認股權憑證於111年第3季行使所發行之普通股股票已上市股數。,2022-10-04
友達,友達:友達光電股份有限公司（公司代號：2409）因現金減資全面換發新股票上市開始買賣日期。,2022-10-04
瑞軒,瑞軒:瑞軒科技股份有限公司（公司代號：2489）111年除權配股股票上市掛牌日期。,2022-10-04
同亨,同亨9月營收1.03億元年增4.22% 1—9月達11.60億元,2022-10-04
鈺緯,鈺緯9月營收0.68億元年增5.53% 1—9月達6.54億元,2022-10-04
中天,中天9月營收1.28億元年減13.68% 1—9月達12.72億元,2022-10-04
明基醫,明基醫9月營收2.78億元年增94.05% 1—9月達21.73億元,2022-10-04
德微,德微9月營收1.86億元年增2.84% 1—9月達16.61億元,2022-10-04
光耀,光耀9月營收0.35億元年減69.8% 1—9月達8.06億元,2022-10-04
矽瑪,矽瑪9月營收4.30億元年增11.38% 1—9月達31.64億元,2022-10-04
仲琦,仲琦9月營收12.07億元年增73.4% 1—9月達86.43億元,2022-10-04
台橡,台橡9月營收28.69億元年增22.91% 1—9月達263.57億元,2022-10-04
世鎧,世鎧9月營收0.96億元年減24.55% 1—9月達10.82億元,2022-10-04
勝一,勝一9月營收8.85億元年減11.12% 1—9月達88.06億元,2022-10-04
聯邦銀,聯邦銀:公布本行111年9月自結盈餘相關資訊。,2022-10-04
兆豐金,兆豐金:代本公司之子公司兆豐國際商業銀行股份有限公司公告對前董事求償訴訟，臺灣高等法院於今日宣判。,2022-10-04
中福,中福:更正111年9月29日關於福興投資(股)公司之重大訊息,2022-10-04
安馳,安馳:公告處分同一有價證券達實收資本額20%,2022-10-04
順發,順發:本公司發言人異動,2022-10-04
廣積,廣積:董事會決議發行國內第六次無擔保轉換公司債,2022-10-04
新日興,新日興:公告本公司第一次買回庫藏股期間屆滿執行情形,2022-10-04
逸達,逸達:公告本公司民國111年第3季因員工認股權憑證執行而新增發行之股數,2022-10-04
六角,六角:公告本公司111年第3季因員工認股權憑證執行而新增發行之股數,2022-10-04
