code,content,date
愛普*,"愛普*:本公司受邀參加""2022 Global TMT Conference in Asia""",2022-11-12
上海商銀,上海商銀:公告本公司董事會通過對財團法人中小企業信用保證基金之捐贈案,2022-11-12
上海商銀,上海商銀:公告本公司代理發言人異動,2022-11-12
上海商銀,上海商銀:公告變更本行與互助營造股份有限公司之工程契約,2022-11-12
泰茂,泰茂:公告取消本公司董事會決議購置土地及廠房案,2022-11-12
力達-KY,力達-KY:代子公司公告決議變更發放現金股利,2022-11-12
力達-KY,力達-KY:公告本公司薪資報酬委員異動,2022-11-12
力達-KY,力達-KY:公告本公司董事會通過111年第三季合併財務報告,2022-11-12
星雲,星雲:公告本公司董事會通過111年第三季合併財務報告,2022-11-12
旺宏,旺宏:修正本公司訂購機器設備公告 (交易總金額異動),2022-11-12
華鎂鑫1,華鎂鑫10月營收0.12億元年增303.53% 1—10月達2.95億元,2022-11-12
鈦昇1,鈦昇10月營收1.99億元年減9.42% 1—10月達28.59億元,2022-11-12
東科-KY1,東科-KY10月營收9.95億元年增40.75% 1—10月達110.84億元,2022-11-12
