code,content,date
貿聯-KY,貿聯-KY:貿聯控股(BizLink Holding Inc.)（公司代號：3665）員工認股權憑證於111年第3季行使所發行之普通股股票已上市股數。,2022-11-02
金利,金利:(補充公告)本公司透過轉投資第三地區現有公司投資大陸新公司之分批投資相關資訊,2022-11-02
羅昇1,羅昇10月營收2.92億元年減2.17% 1—10月達31.92億元,2022-11-02
明基材1,明基材10月營收11.66億元年減10.69% 1—10月達130.88億元,2022-11-02
博大1,博大10月營收1.76億元年增45.23% 1—10月達14.74億元,2022-11-02
上緯投控,上緯投控:公告本公司董事會通過111年第三季合併財務報告,2022-11-02
亞元1,亞元10月營收1.20億元年增26.92% 1—10月達11.02億元,2022-11-02
合一1,合一10月營收0.04億元年減40.76% 1—10月達10.55億元,2022-11-02
鈺緯1,鈺緯10月營收0.96億元年增41.42% 1—10月達7.50億元,2022-11-02
矽瑪1,矽瑪10月營收4.01億元年增31.45% 1—10月達35.65億元,2022-11-02
聯光通,聯光通:代重要子公司聯瑞科技股份有限公司公告向關係人取得使用權資產,2022-11-02
金利,金利:公告本公司財務暨會計主管晉升,2022-11-02
金利,金利:公告本公司董事會決議通過111年第3季合併財務報告,2022-11-02
太極,太極:公告本公司董事會通過111年第3季合併財務報告,2022-11-02
東訊,東訊:公告本公司111年度第三季財務報告相關重要財務資訊,2022-11-02
中鼎,中鼎:本公司董事會決議發行無擔保普通公司債,2022-11-02
新漢,新漢:本公司董事會決議通過111年第3季合併財務報告,2022-11-02
國泰金,國泰金:代陸家嘴國泰人壽公告取得國華興益-泰州城投基礎設施債權投資計畫(一期）,2022-11-02
茂訊1,茂訊10月營收2.94億元年增49.24% 1—10月達23.01億元,2022-11-02
友通1,友通10月營收14.17億元年增12.36% 1—10月達132.33億元,2022-11-02
中砂1,中砂10月營收5.38億元年增10.89% 1—10月達58.56億元,2022-11-02
大聯大,大聯大:公告本公司增加持有被控股公司家數,2022-11-02
智冠,智冠:代子公司遊戲新幹線公告取得上海煜龍信息科技有限公司之手機遊戲『純白和弦』在台、港、澳地區代理營運,2022-11-02
統一超,統一超:代子公司二十一世紀生活事業股份有限公司公告取得使用權資產,2022-11-02
千附,千附:公告本公司奉主管機關函示辦理109年第3季至110年度各期財務報告之重編,2022-11-02
統一超,統一超:本公司取得不動產使用權資產,2022-11-02
統一超,統一超:公告本公司於新北市土城區明德段租地委建,2022-11-02
華固,華固:本公司擬出售「華固大安學府」房屋及車位予關係人。,2022-11-02
華固,華固:本公司董事會通過與關係人簽訂華固國家置地案建築追加工程承攬合約書。,2022-11-02
華固,華固:本公司董事會通過與關係人簽訂華固得月案建築工程承攬合約書。,2022-11-02
華固,華固:本公司董事會通過與關係人簽訂華固一莊案建築工程承攬合約書。,2022-11-02
華固,華固:本公司董事會通過與關係人簽訂華固上文林案建築工程承攬合約書。,2022-11-02
中鼎,中鼎:公告本公司董事會通過111年第3季合併財務報告,2022-11-02
鈺緯,鈺緯:公告本公司董事會通過111年第3季合併財務報告,2022-11-02
德律,德律:公告本公司董事會通過民國111年度第三季合併財務報告,2022-11-02
羅昇,羅昇:公告董事會通過111年第三季合併財務報告,2022-11-02
鼎元,鼎元:公告本公司董事會通過111年第3季合併財務報告,2022-11-02
華固,華固:本公司提報董事會111年度第3季財務報告。,2022-11-02
朋程,朋程:本公司董事會決議通過一一一年第三季合併財務報告,2022-11-02
明揚,明揚:本公司董事會通過111年第三季財務報告,2022-11-02
菱光,菱光:公告本公司新任副總經理,2022-11-02
菱光,菱光:公告本公司董事會通過111年第三季合併財務報告,2022-11-02
華擎,華擎:公告本公司董事會決議辦理限制員工權利新股收買註銷減資案,2022-11-02
鉅陞,鉅陞:公告本公司依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第二款及第三款應公告事項,2022-11-02
華擎,華擎:公告本公司董事會通過111年第3季合併財務報告,2022-11-02
鉅陞,鉅陞:公告本公司董事會通過建案工程發包關係人案,2022-11-02
鉅陞,鉅陞:公告本公司董事會通過111年第3季合併財務報告,2022-11-02
神基：員工認股權憑證發行及認股辦法,神基：員工認股權憑證發行及認股辦法,2022-11-02
大億金茂,大億金茂:茲依證券交易法第四十三條之一第一項(及企業併購法第二十七條第十四項)規定辦理公告,2022-11-02
天瀚,天瀚:天瀚科技股份有限公司（公司代號：6225）減資彌補虧損換發新股停止股東名簿記載之變更（即暫停股票過戶）、舊股票停止上市買賣暨新股票開始換發及上市開始買賣日期,2022-11-02
天瀚,天瀚:天瀚科技股份有限公司(公司代號:6225)減資換股作業計畫業經核准事宜,2022-11-02
九齊1,九齊10月營收1.03億元年減52.78% 1—10月達15.37億元,2022-11-02
華興1,華興10月營收0.55億元年減15.61% 1—10月達7.45億元,2022-11-02
同亨1,同亨10月營收0.69億元年減48.26% 1—10月達12.29億元,2022-11-02
承業醫,承業醫:公告本公司董事會通過民國111年第三季合併財務報表,2022-11-02
中天1,中天10月營收1.54億元年增3.43% 1—10月達14.26億元,2022-11-02
光耀1,光耀10月營收0.35億元年減70.66% 1—10月達8.41億元,2022-11-02
明泰1,明泰10月營收25.47億元年增38.07% 1—10月達269.39億元,2022-11-02
信邦1,信邦10月營收27.92億元年增31.64% 1—10月達254.39億元,2022-11-02
仲琦1,仲琦10月營收11.56億元年增59.55% 1—10月達97.99億元,2022-11-02
中鼎,中鼎:本公司資金貸與達公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款公告標準,2022-11-02
宏益1,宏益10月營收1.24億元年減32.65% 1—10月達15.53億元,2022-11-02
