code,content,date
台翰,台翰:公告本公司董事會通過向關係人租賃取得不動產使用權資產,2022-10-26
國票金,國票金:本公司111年現金增資發行新股相關事宜,2022-10-26
淳紳,淳紳:本公司董事長沈瑋等8人於民國（下同）111年10月26日起陸續收受財團法人證券投資人及期貨交易人保護中心（下稱「投保中心」）之刑事附帶民事訴訟起訴狀。,2022-10-26
中光電,中光電:公告本公司重要營運主管異動,2022-10-26
兆豐金,兆豐金:代本公司之子公司兆豐產物保險股份有限公司公告董事會代行股東會職權決議通過解除董事競業禁止之限制案,2022-10-26
兆豐金,兆豐金:代本公司之子公司兆豐產物保險股份有限公司公告董事會代行股東會職權重要決議事項,2022-10-26
如興,如興:公告本公司更換股務代理機構案經集保公司准予備查,2022-10-26
晶睿,晶睿:公告本公司111年第3季合併財務報告,2022-10-26
富邦金,富邦金:代台北富邦銀行公告委託富邦資產管理擔任北市萬華段1小段322~324地號等土地都市更新案實施者-補充108/3/20公告,2022-10-26
國賓,國賓:公告本公司與日本Palace Hotel正式簽訂經營合作契約,2022-10-26
兆豐金,兆豐金:代本公司之子公司兆豐國際商業銀行(股)公司補充公告發行111年度第6期無擔保次順位金融債券，發行金額新臺幣參拾玖億元整,2022-10-26
鑫科,鑫科:公告本公司資金貸與金額已達公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款之規定,2022-10-26
鑫科,鑫科:公告本公司董事會通過111年第三季合併財務報告,2022-10-26
富邦媒,富邦媒:公告本公司董事會通過111年第3季合併財務報告,2022-10-26
元大金,元大金:元大金控代子公司元大證金公告董事會代行股東會重要決議事項,2022-10-26
元大金,元大金:元大金控公告向元大證券取得使用權資產,2022-10-26
元大金,元大金:元大金控公告向元大銀行取得使用權資產,2022-10-26
金益鼎,金益鼎:金益鼎企業股份有限公司（公司代號：8390）因現金減資全面換發新股票上櫃開始買賣日期。,2022-10-26
國巨,國巨:公告本公司高雄新建廠房二次側工程相關事宜,2022-10-26
豐興,豐興:本公司民國111年第三季合併財務報告業經董事會決議通過,2022-10-26
國票金,國票金:公告本公司111年現金增資認股基準日等相關事宜,2022-10-26
志旭,志旭:公告本公司111年第一次股東臨時會重要決議事項補充說明,2022-10-26
森田,森田:違反空氣污染防制法遭裁處罰鍰乙案。,2022-10-26
富強鑫,富強鑫:公告本公司111年9月30日自結報表流動比率、速動比率、負債比率。,2022-10-26
昇華,昇華:公告投保中心請求解任本公司前董事俞惟中董事職務案，經臺灣士林地方法院判決結果應予解任,2022-10-26
聯電,聯電:本公司2022年第三季財務報告,2022-10-26
綠河-KY,綠河-KY:代重要子公司Happy Magic International Limited公告董事會決議減資事宜,2022-10-26
第一金,第一金:代子公司第一金投信公告董事會代行股東臨時會重要決議事項,2022-10-26
第一金,第一金:代子公司第一金人壽公告董事會代行股東常會重要決議事項,2022-10-26
聯電,聯電:公告本公司董事會決議辦理限制員工權利新股收回註銷減資事宜,2022-10-26
聯電,聯電:本公司董事會通過資本預算執行案,2022-10-26
聯電,聯電:公告本公司董事會決議通過民國111年第三季合併財務報告,2022-10-26
中航,"中航:代子公司Chinese Transport Maritime(Hong Kong), Limited公告新增資金貸與金額達公開發行公司最近期財務報表淨值百分之二以上。",2022-10-26
中航,中航:代子公司Chinese Maritime Transport(S) Pte. Ltd.公告處分有價證券達三億元,2022-10-26
富邦金,富邦金:代富邦資產管理公告接受北富銀委託擔任北市萬華段1小段322~324地號土地都市更新案實施者-補充108/3/20公告,2022-10-26
