code,content,date
鈺邦,鈺邦11月營收2.01億元年減18.67% 1—11月達22.60億元,2022-12-06
元禎,元禎11月營收6.79億元年減31.08% 1—11月達85.08億元,2022-12-06
百容,百容11月營收1.67億元年減11.86% 1—11月達20.73億元,2022-12-06
駿熠電,駿熠電:公告本公司發言人異動,2022-12-06
葡萄王,葡萄王11月營收11.63億元年增9.86% 1—11月達92.81億元,2022-12-06
台開,台開:公告本公司部分獨立董事針對董事會議案保留意見,2022-12-06
矽創,矽創:本公司受邀參加第一金證券12/7(三)線上座談會活動,2022-12-06
科懋,科懋11月營收0.52億元年減55.13% 1—11月達6.04億元,2022-12-06
雙鴻,雙鴻11月營收12.38億元年減16.36% 1—11月達127.05億元,2022-12-06
台橡,台橡11月營收26.19億元年減11.71% 1—11月達315.68億元,2022-12-06
臻鼎-KY,臻鼎-KY:代子公司鵬鼎控股(深圳)股份有限公司公告董事會通過決議發行非公開發行A股股票相關事宜,2022-12-06
臻鼎-KY,臻鼎-KY:代子公司鵬鼎控股(深圳)股份有限公司公告董事會通過召開2022年臨時股東大會相關事宜,2022-12-06
臻鼎-KY,臻鼎-KY:代子公司鵬鼎控股(深圳)股份有限公司公告董事會通過各項議案,2022-12-06
士紙,士紙:公告本公司法人董事辭任,2022-12-06
瓦城,瓦城:公告本公司審計委員會及薪酬委員會委員辭任,2022-12-06
中福,中福:本公司受金融監督管理委員會裁罰案說明,2022-12-06
瓦城,瓦城:公告本公司獨立董事辭任,2022-12-06
西勝,西勝:本公司轉投資持股20.3%之品睿綠能科技(股)公司經董事會決議擬辦理解散,2022-12-06
桓鼎-KY,桓鼎-KY:公告本公司發行中華民國境內第三次無擔保轉換公司債轉換價格訂定,2022-12-06
大江,大江11月營收6.41億元年增0.88% 1—11月達68.29億元,2022-12-06
嘉聯益,嘉聯益11月營收12.48億元年增0.48% 1—11月達139.34億元,2022-12-06
太極,太極11月營收2.49億元年增107.28% 1—11月達19.79億元,2022-12-06
艾笛森,艾笛森11月營收1.57億元年減8.78% 1—11月達16.99億元,2022-12-06
和康生,和康生11月營收0.52億元年增20.46% 1—11月達5.43億元,2022-12-06
東和,東和11月營收0.45億元年減33.97% 1—11月達6.40億元,2022-12-06
傳奇,傳奇:公告本公司召開法說會相關內容,2022-12-06
傳奇,傳奇:公告本公司111年11月份合併自結損益,2022-12-06
單井,單井:單井工業股份有限公司（公司代號：3490）註銷買回股票事宜。,2022-12-06
宜鼎,宜鼎11月營收7.78億元年減13.41% 1—11月達96.58億元,2022-12-06
明躍,明躍11月營收1.18億元年減45.03% 1—11月達12.70億元,2022-12-06
景碩,景碩11月營收30.02億元年減14.1% 1—11月達396.19億元,2022-12-06
星通,星通11月營收0.19億元年減59.9% 1—11月達4.14億元,2022-12-06
福懋,福懋11月營收25.12億元年減9.21% 1—11月達320.84億元,2022-12-06
和康生,和康生:公告本公司2022年11月份合併營收,2022-12-06
佳和,佳和:公告本公司法人董事代表人異動,2022-12-06
大江,大江:2022年11月營收報告,2022-12-06
隆中,隆中:本公司受邀參加元大證券舉辦之法人說明會,2022-12-06
逸達,逸達:本公司受邀參加凱基證券舉辦之法人說明會,2022-12-06
台開,台開:更新股東常會議事手冊及年報,2022-12-06
中信金,中信金:代子公司中國信託產物保險股份有限公司公告發行普通股之現金增資基準日,2022-12-06
國泰金,"國泰金:本公司代子公司國泰人壽公告取得H.I.G. Middle Market LBO Fund IV, L.P.",2022-12-06
國泰金,國泰金:本公司代子公司國泰人壽公告取得Vertex Ventures (SG) SEA V LP,2022-12-06
新日興,新日興:公告本公司註銷庫藏股申請減資變更登記經經濟部核准,2022-12-06
宇瞻,宇瞻11月營收7.05億元年減12.85% 1—11月達81.88億元,2022-12-06
台虹,台虹11月營收5.85億元年減15.21% 1—11月達82.18億元,2022-12-06
捷敏-KY,捷敏-KY11月營收4.49億元年增6.45% 1—11月達48.89億元,2022-12-06
生華科,生華科11月營收0.00億元年增66% 1—11月達0.01億元,2022-12-06
廣錠,廣錠11月營收0.62億元年減12.91% 1—11月達5.23億元,2022-12-06
宏正,宏正11月營收4.94億元年減1.38% 1—11月達49.25億元,2022-12-06
中磊,中磊11月營收56.17億元年增28.48% 1—11月達578.09億元,2022-12-06
jpp-KY,jpp-KY11月營收1.86億元年增59.58% 1—11月達16.21億元,2022-12-06
駿熠電,駿熠電11月營收0.10億元年減59.8% 1—11月達2.48億元,2022-12-06
聚積,聚積11月營收1.79億元年減23.61% 1—11月達23.92億元,2022-12-06
鈊象,鈊象11月營收10.23億元年增11.67% 1—11月達108.46億元,2022-12-06
零壹,零壹11月營收10.00億元年增6.16% 1—11月達117.62億元,2022-12-06
中信金,中信金:代子公司中國信託產物保險股份有限公司公告減資基準日,2022-12-06
建準,建準11月營收13.17億元年減0.67% 1—11月達129.41億元,2022-12-06
虹光,虹光11月營收2.88億元年增32.53% 1—11月達27.17億元,2022-12-06
中華化,中華化11月營收2.04億元年增8.2% 1—11月達21.24億元,2022-12-06
台達化,台達化11月營收11.83億元年減37.71% 1—11月達167.21億元,2022-12-06
