code,content,date
夠麻吉,夠麻吉:代重要子公司一起旅行社股份有限公司公告向關係人取得不動產使用權資產,2023-03-25
夠麻吉,夠麻吉:本公司向關係人取得不動產使用權資產,2023-03-25
夠麻吉,夠麻吉:公告本公司董事會決議通過解除經理人競業禁止,2023-03-25
夠麻吉,夠麻吉:公告本公司總經理異動,2023-03-25
福貞-KY,福貞-KY:公告福貞控股股份有限公司國內第二次無擔保轉(交)換公司債(簡稱：福貞二KY，代碼：84112)停止受理轉交換等相關事項。,2023-03-25
海德威,海德威:公告海德威電子工業股份有限公司國內第一次有擔保轉(交)換公司債(簡稱：海德威一，代碼：32681)停止受理轉交換等相關事項。,2023-03-25
成霖,成霖:成霖企業股份有限公司（公司代號：9934）112年現金增資股票上市掛牌日期暨112年股款繳納憑證終止上市日期。,2023-03-25
彰銀,彰銀:公告本公司董事會決議召開112年股東常會相關事宜。,2023-03-25
統振,統振:公告本公司董事會決議通過子公司東旺利股份有限公司釋股規劃暨放棄參與該公司現金增資計畫案,2023-03-25
福邦證,福邦證:更正本公司111年度合併及個體財報之被投資公司表與董事等酬金表相關資訊。,2023-03-25
鴻海,鴻海:本公司受邀參加CLSA舉辦之法人交流會，說明本公司營運概況,2023-03-25
台數科,台數科:公告本公司完成第11次及第12次買回庫藏股註銷事宜。,2023-03-25
台肥,台肥:臺灣士林地方法院撤銷110年9月17日士院擎110司執全莊字第231號執行命令。,2023-03-25
盛達,盛達:公告本公司112年第1季行使員工認股權所發行普通股變更登記核准公告,2023-03-25
建暐,建暐:公告建暐精密科技股份有限公司國內國內第三次有擔保轉換公司債轉(交)換公司債(簡稱：建暐三，代碼：80923)停止受理轉交換等相關事項。,2023-03-25
健喬,健喬:公告本公司董事會決議召開112年股東常會相關事宜(修正議案內容文字),2023-03-25
凌群,凌群:公告本公司召開法人說明會相關資訊,2023-03-25
華航,華航:新增與中美企業公司房屋租賃合約,2023-03-25
大東,大東:公告本公司獨立董事任期達三屆繼續提名之說明,2023-03-25
台數科,台數科:公告本公司辦理庫藏股註銷減資變更登記完成,2023-03-25
百和興業-KY,百和興業-KY:公告本公司111年度自結合併損益與會計師查核數之差異說明,2023-03-25
台肥,台肥:臺灣臺北地方法院一審判決本公司應將如附表所示之平面汽車地下停車位交付東正投資顧問股份有限公司使用收益。,2023-03-25
星雲,星雲:星雲電腦董事會決議召開112年股東常會公告,2023-03-25
耀登,耀登:耀登科技股份有限公司（公司代號：3138）註銷收回股票事宜。,2023-03-25
天瀚,天瀚:公告本公司上市有價證券取消分盤集合競價交易方式，惟仍繼續列為變更交易方法,2023-03-25
心悅,心悅:公告本公司111年第二次現金增資收足股款暨訂定增資基準日,2023-03-25
心悅,心悅:公告本公司經主管機關核准變更111年第二次現金增資發行股數及募集金額,2023-03-25
星雲,星雲:公告本公司董事會決議不分派股利,2023-03-25
台端,台端:公告有關本公司接獲所投資基金(Spectra SPC Powerfund)之更新通知事宜(112/03/06已公告收到基金之通知，112/03/25公告收到基金之更新通知),2023-03-25
星雲,星雲:公告本公司董事會通過111年度合併財務報告,2023-03-25
耀登,耀登:公告耀登科技股份有限公司國內第&#12032;次有擔保轉(交)換公司債(簡稱：耀登&#12032;，代碼：31381)停止受理轉交換等相關事項。,2023-03-25
易華電,易華電:公告易華電子股份有限公司國內第一次有擔保轉(交)換公司債轉(交)換公司債(簡稱：易華電一，代碼：65521)停止受理轉交換等相關事項。,2023-03-25
成霖,成霖:本公司111年現金增資發行普通股核准變更登記完成及普通股上市暨股款繳納憑證下市日期公告,2023-03-25
福大,福大:公告本公司董事會通過設置公司治理主管,2023-03-25
麗清,麗清:公告麗清科技股份有限公司國內國內第四次無擔保轉(交)換公司債(簡稱：麗清四，代碼：33464)換發之普通股股票開始櫃檯買賣日期。,2023-03-25
皇普,皇普:公告皇普股份有限公司國內第二次有擔保轉換公司債(簡稱：皇普二，代碼：25282)自112年04月21日起，轉換價格自21.73元調整為21.17元。,2023-03-25
威強電,威強電:澄清說明1120325經濟日報相關報導,2023-03-25
智邦,智邦:智邦科技股份有限公司（公司代號：2345） 員工認股權憑證於 111 年第 4 季行使所發行之普通股股票已上市股數。,2023-03-25
湧德,湧德:更正本公司111年度10、11、12月背書保證公告資訊,2023-03-25
