代碼,股利發放年度,股利合計
1201,2004,0.0
1201,2003,0.0
1201,2002,0.0
1201,2001,0.0
1201,2000,0.0
1201,1999,0.0
1201,1998,0.0
1201,1997,0.8
1201,1996,1.0
1201,1995,0.8
1201,1994,1.2
1201,1993,1.2
1201,1992,1.3
1201,1991,1.3
1201,1990,1.5
1201,1989,1.5
1201,1988,1.3
1201,1987,1.3
1201,1986,1.3
1201,1985,2.0
1201,1984,2.3
1203,2022,1.1
1203,2021,1.1
1203,2020,1.0
1203,2019,1.0
1203,2018,1.3
1203,2017,1.0
1203,2016,1.0
1203,2015,1.0
1203,2014,1.0
1203,2013,0.3
1203,2012,0.5
1203,2011,0.5
1203,2010,1.5
1203,2009,1.0
1203,2008,0.0
1203,2007,0.0
1203,2006,0.0
1203,2005,0.0
1203,2004,0.0
1203,2003,0.0
1203,2002,0.0
1203,2001,0.0
1203,2000,0.0
1203,1999,0.0
1203,1998,0.75
1203,1997,0.68
1203,1996,0.0
1203,1995,1.3
1203,1994,1.2
1203,1993,1.1
1203,1992,1.2
1203,1991,1.7
1203,1990,1.6
1203,1989,1.6
1203,1988,1.6
1203,1987,1.5
1203,1986,1.3
1203,1985,1.1
1203,1984,1.5
1210,2022,2.0
1210,2021,3.0
1210,2020,2.2
1210,2019,2.0
1210,2018,2.7
1210,2017,1.5
1210,2016,0.7
1210,2015,1.0
1210,2014,4.0
1210,2013,1.2
1210,2012,1.68
1210,2011,1.68
1210,2010,1.7
1210,2009,1.7
1210,2008,1.97
1210,2007,1.49
1210,2006,1.09
1210,2005,0.31
1210,2004,0.5
1210,2003,0.5
1210,2002,1.0
1210,2001,0.9
1210,2000,1.11
1210,1999,0.9
1210,1998,1.1
1210,1997,1.1
1210,1996,0.8
1210,1995,0.6
1210,1994,0.5
1210,1993,1.0
1210,1992,2.0
1210,1991,2.4
1210,1990,2.0
1210,1989,1.5
1210,1988,1.5
1210,1987,0.0
1210,1985,0.3
1210,1984,0.4
1213,2022,0.0
1213,2021,0.0
1213,2020,0.0
1213,2019,0.0
1213,2018,0.0
1213,2017,0.0
1213,2016,1.0
1213,2015,0.0
1213,2014,0.0
1213,2013,0.0
1213,2012,0.0
1213,2011,0.0
1213,2010,0.0
1213,2009,0.0
1213,2008,0.0
1213,2007,0.0
1213,2006,2.0
1213,2005,0.0
1213,2004,0.0
1213,2003,0.0
1213,2002,1.0
1213,2001,0.0
1213,2000,0.0
1213,1999,0.0
1213,1998,1.9
1213,1997,0.0
1213,1996,0.0
1213,1995,0.0
1213,1994,0.0
1213,1993,0.0
1213,1992,-
1213,1991,-
1213,1990,0.0
1213,1989,1.5
1213,1986,0.2
1213,1984,1.6
1215,2022,4.0
1215,2021,4.5
1215,2020,4.0
1215,2019,3.0
1215,2018,3.0
1215,2017,3.0
1215,2016,2.0
1215,2015,2.0
1215,2014,1.3
1215,2013,0.8
1215,2012,0.3
1215,2011,1.0
1215,2010,1.0
1215,2009,0.7
1215,2008,1.0
1215,2007,0.6
1215,2006,0.0
1215,2005,0.0
1215,2004,0.0
1215,2003,0.0
1215,2002,0.5
1215,2001,0.7
1215,2000,1.1
1215,1999,1.0
1215,1998,1.0
1215,1997,1.0
1215,1996,1.1
1215,1995,1.0
1215,1994,1.0
1215,1993,1.0
1215,1992,1.1
1215,1991,0.0
1215,1990,0.0
1215,1989,2.0
1215,1988,4.0
1215,1987,2.1
1215,1986,1.2
1215,1985,1.7
1215,1984,2.2
1216,2022,2.7
1216,2021,2.7
1216,2020,2.5
1216,2019,2.5
1216,2018,5.5
1216,2017,2.1
1216,2016,2.0
1216,2015,1.8
1216,2014,2.1
1216,2013,2.0
1216,2012,1.7
1216,2011,2.0
1216,2010,1.8
1216,2009,0.88
1216,2008,2.5
1216,2007,1.2
1216,2006,0.65
1216,2005,0.36
1216,2004,0.6
1216,2003,0.35
1216,2002,0.9
1216,2001,1.2
1216,2000,1.6
1216,1999,2.0
1216,1998,2.0
1216,1997,2.0
1216,1996,2.0
1216,1995,3.0
1216,1994,2.0
1216,1993,2.0
1216,1992,2.0
1216,1991,1.7
1216,1990,3.2
1216,1989,2.76
1216,1988,3.1
1216,1987,1.7
1216,1986,1.2
1216,1985,1.6
1216,1984,2.25
1217,2022,0.3
1217,2021,0.0
1217,2020,0.0
1217,2019,0.0
1217,2018,0.0
1217,2017,0.0
1217,2016,0.15
