code,content,date
明基醫1,明基醫12月營收2.56億元年增58.95% 1—12月達29.51億元,2023-01-04
台泥,台泥:一一一年度第三次無擔保普通公司債發行條件(補充說明本公司於111年4月11日公告董事會決議發行無擔保普通公司債),2023-01-04
台泥,台泥:公告本公司臨時董事會決議買回庫藏股,2023-01-04
新零售,新零售:公告本公司減資基準日、換股作業計畫及減資換發股票基準日等相關事項,2023-01-04
新零售,新零售:公告本公司減資彌補虧損辦理資本變更登記完成,2023-01-04
羅昇1,羅昇12月營收2.75億元年減12.94% 1—12月達37.56億元,2023-01-04
明基材1,明基材12月營收12.12億元年減16.83% 1—12月達155.40億元,2023-01-04
安國1,安國12月營收1.24億元年增2.85% 1—12月達16.06億元,2023-01-04
天鈺1,天鈺12月營收14.20億元年減24.83% 1—12月達196.80億元,2023-01-04
金山電,金山電:本公司國內第5次無擔保轉換公司債111年第4季轉換普通股數額公告,2023-01-04
昇陽,昇陽:補充公告「臺北市士林區芝蘭段都市更新案」相關事宜,2023-01-04
環宇-KY：員工認股權憑證發行及認股辦法,環宇-KY：員工認股權憑證發行及認股辦法,2023-01-04
材料-KY,材料-KY:本公司中華民國境內第二次及第三次無擔保轉換公司債111年第四季轉換普通股之情形(更正轉換張數與股數),2023-01-04
明安,明安:本公司國內第三次無擔保轉換公司債111年第4季轉換普通股情形,2023-01-04
業旺,業旺:代共同取得人依證交法第43條之1第1項規定辦理公告,2023-01-04
東和,東和:代共同取得人林敬航依證交法第43條之1第1項規定辦理公告,2023-01-04
台泥,台泥:公告募集及交付臺灣水泥股份有限公司一一一年度第三次無擔保普通公司債,2023-01-04
華興1,華興12月營收0.85億元年增0.1% 1—12月達8.86億元,2023-01-04
合一1,合一12月營收0.06億元年增17.66% 1—12月達10.66億元,2023-01-04
鈺緯1,鈺緯12月營收0.90億元年增20.31% 1—12月達9.49億元,2023-01-04
矽瑪1,矽瑪12月營收2.87億元年減11.82% 1—12月達42.31億元,2023-01-04
友通1,友通12月營收15.00億元年增0.61% 1—12月達161.57億元,2023-01-04
和椿,和椿:公告本公司董事長異動,2023-01-04
和椿,和椿:公告本公司法人董事代表人改派,2023-01-04
中福,中福:公告本公司取得主管機關核准111年第2季及第3季財務報告延期公告申報,2023-01-04
華祺1,華祺12月營收1.69億元年減26.19% 1—12月達27.20億元,2023-01-04
兆利,兆利:代子公司兆旺科技(重慶)有限公司公告取得理財商品,2023-01-04
南僑,南僑:代子公司上海僑好食品有限公司公告股東會重要決議事項,2023-01-04
南僑,南僑:代子公司上海僑好食品有限公司公告現金增資,2023-01-04
兆赫,兆赫:公告本公司接獲臺灣高等法院民事判決書,2023-01-04
友輝,友輝:公告本公司一一一年第四季因員工認股權憑證執行而新增發行之股數。,2023-01-04
六角,六角:公告本公司111年第4季因員工認股權憑證執行而新增發行之股數,2023-01-04
中砂,中砂:本公司第一一一年第四季因員工認股權憑證執行而新增發行之普通股數額公告,2023-01-04
中鼎,中鼎:公告募集及交付中鼎工程股份有限公司112年度第1次無擔保普通公司債,2023-01-04
中天1,中天12月營收1.42億元年增1.54% 1—12月達17.22億元,2023-01-04
德微1,德微12月營收1.71億元年減7.02% 1—12月達21.78億元,2023-01-04
中砂1,中砂12月營收5.18億元年減1.68% 1—12月達69.08億元,2023-01-04
上揚,上揚:公告本公司總經理異動(更正事實發生日),2023-01-04
榮科,榮科:公告本公司配合會計師事務所內部輪調變更會計師,2023-01-04
建錩,建錩:本公司及重要子公司11月份負債比率、流動比率及速動比率資訊,2023-01-04
大詠城,大詠城:公告本公司從事衍生性商品交易個別契約未實現損失金額達所定損失上限,2023-01-04
宏碁,宏碁:本公司受邀參加美銀證券舉辦之線上法說會,2023-01-04
泰茂,泰茂:公告本公司國內第四次有擔保轉換公司債收足應募價款,2023-01-04
鴻翊,鴻翊:公告本公司設置永續發展委員會,2023-01-04
鴻翊,鴻翊:公告本公司設置風險管理委員會,2023-01-04
