code,content,date
群創,群創:公告本公司T6廠職業安全意外事故,2023-01-03
艾姆勒1,艾姆勒12月營收0.51億元年減50.46% 1—12月達7.30億元,2023-01-03
揚明光,揚明光:代子公司昆山揚明光學有限公司公告累計取得理財產品達應行公告標準,2023-01-03
康全電訊,康全電訊:公告本公司111年第四季員工認股權憑證執行發行新股情形。,2023-01-03
零壹,零壹:公告本公司111年第4季因員工認股權憑證執行而新增發行之股數,2023-01-03
鈦昇,鈦昇:本公司國內第三次無擔保轉換公司債111年第4季轉換普通股公告,2023-01-03
鈦昇,鈦昇:本公司國內第二次有擔保轉換公司債111年第4季轉換普通股公告,2023-01-03
詮欣,詮欣:公告本公司國內第三次無擔保轉換公司債111年第4季轉換普通股之情形,2023-01-03
眾達-KY,眾達-KY:眾達科技股份有限公司（公司代號：4977）111年現金增資股票上市掛牌日期。,2023-01-03
貿聯-KY,貿聯-KY:貿聯控股(BizLink Holding Inc.)（公司代號：3665）民國111年第四季轉換普通股股票已上市股數,2023-01-03
上揚,上揚:公告本公司總經理異動,2023-01-03
上揚,上揚:公告本公司發言人及代理發言人異動,2023-01-03
上揚,上揚:公告本公司董事會選任董事長,2023-01-03
經緯航,經緯航:公告本公司取得國家中山科學研究院航空研究所「RY無人載具系統維護等1項」案,2023-01-03
新鉅科1,新鉅科12月營收1.06億元年減43.29% 1—12月達15.94億元,2023-01-03
友達,友達:公告本公司將於112年2月8日召開法人說明會,2023-01-03
大洋-KY,大洋-KY:對深圳市大馬化投資有限公司應收款餘額收款情況,2023-01-03
倚強科,倚強科:公告本公司董事會通過取得不動產(簽訂買賣契約補充說明),2023-01-03
點晶,點晶:公告本公司董事會決議更換會計師事務所及簽證會計師,2023-01-03
鉅祥,鉅祥:公告本公司111年第4季因員工認股權憑證執行而新增發行之股數,2023-01-03
帆宣,帆宣:本公司國內第四次無擔保轉換公司債111年第四季轉換以新股交付情形公告,2023-01-03
嘉澤,嘉澤:本公司111年第4季國內第一次無擔保轉換公司債轉換增發新股情形公告,2023-01-03
虹光,虹光:代取得人羅秀春依證交法第43條之1第1項規定辦理公告,2023-01-03
光隆,光隆:光隆實業股份有限公司（公司代號：8916）員工認股權憑證111年第3季行使所發行之普通股股票已上櫃股數。,2023-01-03
虹光,虹光:虹光精密工業股份有限公司（公司代號：2380）112年現金增資股款繳納憑證上市開始買賣日期。,2023-01-03
台達電,台達電:公告募集及交付台達電子工業股份有限公司112年度第1次無擔保普通公司債,2023-01-03
誠創,誠創:公告本公司發言人及代理發言人異動,2023-01-03
迅得1,迅得12月營收5.37億元年增24.8% 1—12月達57.62億元,2023-01-03
光聯1,光聯12月營收1.61億元年增6.33% 1—12月達19.49億元,2023-01-03
誠創,誠創:公告本公司相關人員遭臺北地檢署起訴事宜,2023-01-03
德律1,德律12月營收3.49億元年減22.11% 1—12月達67.09億元,2023-01-03
仲琦1,仲琦12月營收13.79億元年增35.96% 1—12月達123.18億元,2023-01-03
大略-KY,大略-KY:本公司訴訟及非訟代理人變動,2023-01-03
晶宇,晶宇:代子公司愛能視(股)公司公告董事會選任董事長,2023-01-03
晶宇,晶宇:代子公司愛能視(股)公司公告董事和監察人改選,2023-01-03
晶宇,晶宇:公告本公司之母公司廣泰金屬工業(股)公司執行長與營運長異動,2023-01-03
致茂,致茂:本公司受邀參加瑞士信貸舉辦之法人說明會,2023-01-03
長科*,長科*:公告本公司法人董事改派代表人,2023-01-03
群益期,群益期:群益期貨公告向富泰建設股份有限公司取得使用權資產,2023-01-03
台燿,台燿:公告本公司與玉山銀行等8家銀行簽訂聯合授信合約,2023-01-03
東和鋼鐵,東和鋼鐵:代子公司東鋼風力發電(股)公司公告向關係人東和鋼鐵企業股份有限公司簽訂租賃契約。,2023-01-03
台新金,台新金:本公司代子公司台新證券投資信託(股)公司公告董事長變更,2023-01-03
啟碁,啟碁:公告本公司國內第三次無擔保轉換公司債111年第四季轉換普通股情形,2023-01-03
勤凱科技,勤凱科技:公告本公司國內第一次有擔保轉換公司債111年第四季轉換普通股情形,2023-01-03
祺驊,祺驊:本公司國內第二次無擔保轉換公司債於111年第4季轉換增發新股情形公告,2023-01-03
泰茂,泰茂:泰茂實業股份有限公司國內第四次有擔保轉換公司債發放暨上櫃日期公告,2023-01-03
辣椒,辣椒:公告本公司111年第1次私募現金增資股票交付日期相關事宜,2023-01-03
材料-KY,材料-KY:公告本公司分派111年上半年現金股利相關事宜,2023-01-03
倉和1,倉和12月營收1.26億元年增14.23% 1—12月達14.90億元,2023-01-03
禾昌1,禾昌12月營收1.25億元年減32.09% 1—12月達19.59億元,2023-01-03
湯石照明1,湯石照明12月營收0.81億元年減21.49% 1—12月達9.14億元,2023-01-03
德英1,德英12月營收0.11億元年增370.18% 1—12月達0.65億元,2023-01-03
台達電,台達電:公告本公司112年度第1次無擔保普通公司債主要發行條件,2023-01-03
富邦金,富邦金:富邦金控代富邦期貨公告現金增資認股基準日,2023-01-03
威盛,威盛:代子公司威宏盛芯科技(上海)有限公司公告向關係人取得使用權資產,2023-01-03
元大金,元大金:元大金控代子公司元大證券公告新任審計委員會成員,2023-01-03
元大金,元大金:元大金控代子公司元大證券公告董事異動,2023-01-03
胡連,胡連:本公司受邀參加Credit Suisse舉辦之「2023 Greater China Technology and Internet Conference」。,2023-01-03
麗嬰房,麗嬰房:公告本公司111年度第一次股東臨時會重要決議事項,2023-01-03
鈦昇,鈦昇:公告本公司111年第4季因員工認股權憑證執行而新增發行之股數。,2023-01-03
廣越,廣越:公告本公司國內第一次無擔保轉換公司債於111年第四季轉換以新股交付情形,2023-01-03
商之器,商之器:代取得人依證交法第43條之1第1項規定辦理公告,2023-01-03
慕康生醫,慕康生醫:慕康生技醫藥股份有限公司（公司代號：5398）104、105年私募普通股股票上櫃掛牌日期。,2023-01-03
南電1,南電12月營收57.44億元年增17.03% 1—12月達646.47億元,2023-01-03
精測1,精測12月營收3.43億元年減18.95% 1—12月達43.89億元,2023-01-03
互動1,互動12月營收5.78億元年增43.41% 1—12月達20.48億元,2023-01-03
華孚1,華孚12月營收4.38億元年增38.34% 1—12月達41.60億元,2023-01-03
金麗科1,金麗科12月營收0.20億元年減78.23% 1—12月達4.16億元,2023-01-03
豐達科1,豐達科12月營收2.54億元年增44.59% 1—12月達21.93億元,2023-01-03
久威,久威:公告本公司稽核主管異動,2023-01-03
正淩,正淩:澄清媒體報導,2023-01-03
臻鼎-KY,臻鼎-KY:補充:代子公司碁鼎科技秦皇島有限公司公告通過資金貸與額度案,2023-01-03
皇將,皇將:公告本公司發言人異動,2023-01-03
東陽,東陽:本公司受大和國泰證券邀請參加投資座談會,2023-01-03
國巨,"國巨:本公司受邀參加由瑞信證券舉辦之 ""9th Greater China Technology and Internet Conference""",2023-01-03
安勤,安勤:公告本公司111年第四季因員工認股權憑證執行而新增發行之股數。,2023-01-03
永豐金,永豐金:永豐金融控股股份有限公司109年度第1期無擔保普通公司債付息公告作業,2023-01-03
天揚,天揚:本公司111年第二次私募普通股收足股款後，資本額變更登記核准暨股票交付公告,2023-01-03
豐達科,豐達科:新聞稿--豐達十二月自結合併營收為2.54億元,2023-01-03
全新,全新:公告本公司受邀參加CREDIT SUISSE舉辦9th Greater China Technology and Internet Conference,2023-01-03
新零售,新零售:公告本公司代理發言人異動,2023-01-03
新零售,新零售:公告本公司總經理新任,2023-01-03
永信建1,永信建12月營收2.69億元年減79.02% 1—12月達41.33億元,2023-01-03
華孚,華孚:新聞稿-華孚111年12月自結合併營收為新台幣4.38億元,2023-01-03
信邦1,信邦12月營收26.46億元年增21.79% 1—12月達308.86億元,2023-01-03
矽力*-KY,矽力*-KY:公告本公司2022年第四季因員工認股權憑證執行新增發行之股數,2023-01-03
立隆電,立隆電:公告本公司國內第三次無擔保轉換公司債111年第4季轉換增發新股之情形,2023-01-03
海灣,"海灣:公告111年11月份自結財務報告之負債比率,流動及速動比率",2023-01-03
新普,新普:代重要子公司新普科技(重慶)有限公司公告監事變動,2023-01-03
新普,新普:代重要子公司新世電子(常熟)有限公司公告監事變動,2023-01-03
新普,新普:代重要子公司華普電子(常熟)有限公司公告監事變動,2023-01-03
洛碁,洛碁:公告本公司減資辦理資本額變更登記完成,2023-01-03
互動,互動:公告本公司發行國內第二次有擔保轉換公司債,2023-01-03
亞德客-KY,亞德客-KY:澄清111年12月31日工商時報B4版新聞內容,2023-01-03
湯石照明,湯石照明:本公司111年第4季員工執行認股權憑證之發行股數,2023-01-03
東哥遊艇,東哥遊艇:澄清媒體報導,2023-01-03
華擎,華擎:華擎科技-澄清媒體報導,2023-01-03
豐藝,豐藝:公告本公司111年度第4季可轉換公司債轉換以新股交付增資發行新股情形,2023-01-03
福邦證,福邦證:本公司民國111年第4季因員工認股權憑證執行而發行新股公告,2023-01-03
中裕,中裕:依據「發行人募集與發行有價證券處理準則」第五十九條及本公司101年度員工認股權憑證發行及認股辦法」規定辦理。,2023-01-03
崧騰,崧騰:公告本公司國內第二次無擔保轉換公司債111年第4季轉換以新股交付情形公告內容,2023-01-03
皇將,皇將:公告本公司111年現金增資發行普通股股款繳納憑證劃撥暨上櫃日期,2023-01-03
