code,content,date
冠西電,冠西電:澄清媒體之報導,2023-01-19
鴻海,鴻海:本公司間接投資大陸地區紫光集團有限公司，經經濟部投資審議委員會罰鍰事宜,2023-01-19
宏遠,宏遠:第一項第三款：對單一企業背書保證餘額達新臺幣一千萬元以上且對其背書保證、長期投資及資金貸與餘額合計數達該公開發行公司最近期財務報表淨值百分之三十以上者。,2023-01-19
宏遠,宏遠:本公司依第一項第二款：公開發行公司及其子公司對單一企業背書保證餘額達該公開發行公司最近期財務報表淨值百分之二十以上者。,2023-01-19
宏遠,宏遠:本公司依第一項第一款：本公司及其子公司背書保證餘額達該公開發行公司最近期財務報表淨值百分之五十以上,2023-01-19
臻鼎-KY,臻鼎-KY:代子公司鵬鼎控股(深圳)股份有限公司公告2022年度業績預告,2023-01-19
鴻海,"鴻海:代子公司JUSDA (SINGAPORE) PTE. LTD.公告取得JUSDA SUPPLY CHAIN MANAGEMENT MEXICO, S.DE R.L. DE C.V.股權",2023-01-19
鴻海,鴻海:代子公司Jusda International Limited公告取得JUSDA (SINGAPORE) PTE. LTD.股份,2023-01-19
鴻海,鴻海:代子公司Jusda Europe s.r.o.公告取得Jusda Supply Chain Management Corporation股份,2023-01-19
鴻海,鴻海:代子公司Jusda International Limited公告取得Jusda Europe s.r.o.股權,2023-01-19
加百裕,加百裕:公告本公司111年12月份自結合併報表之負債比率、流動比率及速動比率,2023-01-19
閎暉,閎暉:代子公司Silitech (Bermuda) Holding Ltd.公告董事會決議通過現金減資退還給上層母公司Silitech (BVI) Holding Ltd.事宜,2023-01-19
閎暉,閎暉:代子公司Silitech (Bermuda) Holding Ltd.公告處分Silitech Technology Corporation Sdn. Bhd. 100%股權,2023-01-19
閎暉,閎暉:本公司自Silitech (Bermuda) Holding Ltd.取得Silitech Technology Corporation Sdn. Bhd. 100%股權,2023-01-19
和碩,和碩:代子公司PEGATRON ELECTRONICS INC.公告訂購機器設備,2023-01-19
明躍,明躍:公告本公司董事會決議本公司申請撤銷股票公開發行事宜,2023-01-19
茂迪,茂迪:本公司公告新增資金貸與金額達新台幣一千萬元以上且達本公司最近期財務報表淨值百分之二以上,2023-01-19
永新-KY,永新-KY:資金貸與達處理準則第22條第一項第三款應公告申報事項,2023-01-19
jpp-KY,jpp-KY:代重要子公司經寶泰國公告自地委建電焊研磨廠房,2023-01-19
永利聯合,永利聯合:公告本公司配合會計師事務所內部調整變更簽證會計師,2023-01-19
潤弘,潤弘:公告本公司楊梅二廠違反水污染防治法遭裁處罰鍰之相關訊息,2023-01-19
凱美,凱美:代子公司木葉文投資有限公司依公開發行公司資金貸與及背書保證處理準則第二十五條第一項公告相關事宜,2023-01-19
兆豐金,兆豐金:代本公司之子公司兆豐產物保險(股)公司公告減資基準日,2023-01-19
和泰車,和泰車:代子公司和運租車股份有限公司公告董事會決議參與國內不動產投資案,2023-01-19
寶得利,寶得利:公告本公司111年12月底自結合併財務報告之財務比率,2023-01-19
兆赫,兆赫:公告本公司接獲臺灣高等法院民事上訴通知,2023-01-19
華票,華票:公告本公司內部稽核主管生效日期。,2023-01-19
元勝,元勝:公告本公司減資彌補虧損及換股作業等相關事宜(經主管機關核准),2023-01-19
承啟,承啟:代子公司思騰合力(天津)科技有限公司公告取得理財商品,2023-01-19
榮科,榮科:代母公司李長榮化學工業股份有限公司依公開發行公司資金貸與及背書保證處理準則第二十五條第一項第二、三、四款公告,2023-01-19
榮科,榮科:公告本公司之母公司李長榮化學工業股份有限公司董事會通過捐贈事宜,2023-01-19
匯鑽科,匯鑽科:公告本公司設置公司治理主管,2023-01-19
鈺齊-KY,鈺齊-KY:公告本公司2022年第四季合併自結損益,2023-01-19
堤維西,堤維西:公告本公司總經理異動,2023-01-19
佳穎,佳穎:公告本公司111年12月份自結合併財務報告之負債比率、流動比率及速動比率,2023-01-19
如興,如興:本公司於董事會提報111年第二季合併財務報告,2023-01-19
成霖,成霖:公告本公司申請延長現金增資之募集期間業經金管會准予備查,2023-01-19
元大金,元大金:元大金控代子公司元大證券(韓國)公告民事一審判決結果,2023-01-19
南染,南染:公告本公司染整業務停工及員工資遣相關事宜。,2023-01-19
貿聯-KY,貿聯-KY:貿聯控股(BizLink Holding Inc.)（公司代號：3665）111年第4季轉換普通股股票已上市股數。,2023-01-19
大眾控,大眾控:本公司國內第一次無擔保轉換公司債111年第4季轉換普通股數額公告,2023-01-19
富邦金,富邦金:富邦金融控股股份有限公司一一二年度第一期無擔保普通公司債乙券計新臺幣陸拾陸億元整，於112年1月12日起櫃檯買賣公告,2023-01-19
