代碼,股利發放年度,股利合計,盈4,盈配率
1308,2020,1.1,1.9,0.5789473684210527
1308,2019,0.3,,
1309,2022,2.5,1.04,2.4038461538461537
1309,2021,3.0,4.89,0.6134969325153374
1309,2020,0.6,5.58,0.1075268817204301
1309,2019,0.4,,
1310,2022,0.15,-0.71,-0.2112676056338028
1310,2021,0.5,0.2,2.5
1310,2020,1.0,0.55,1.8181818181818181
1310,2019,2.0,,
1312,2022,2.0,-0.56,-3.571428571428571
1312,2021,0.1,6.47,0.01545595054095827
1313,2023,0.2,-1.66,-0.12048192771084339
1313,2022,1.0,-0.94,-1.0638297872340425
1313,2021,1.0,1.66,0.6024096385542169
1313,2020,0.2,1.62,0.12345679012345678
1313,2019,0.496,,
1314,2022,0.4,0.06,6.666666666666667
1314,2020,0.3,0.21,1.4285714285714286
1314,2019,1.0,,
1315,2023,3.5,6.9,0.5072463768115941
1315,2022,5.0,7.41,0.6747638326585695
1315,2021,6.0,0.04,150.0
1315,2020,7.65,31.97,0.23928683140444168
1315,2019,1.2,,
1321,2022,0.7,-0.19,-3.6842105263157894
1321,2021,1.0,1.45,0.6896551724137931
1323,2023,1.1,1.7099999999999995,0.6432748538011698
1323,2022,1.6,2.05,0.7804878048780489
1323,2021,1.6,3.04,0.5263157894736842
1323,2020,1.6,3.2,0.5
1323,2019,1.8,,
1324,2022,0.2,0.06,3.3333333333333335
1324,2021,0.3,0.01,30.0
1324,2020,0.3,0.22,1.3636363636363635
1324,2019,0.3,,
1325,2022,2.0,0.19,10.526315789473685
1325,2021,12.0,3.26,3.6809815950920246
1325,2020,0.3,23.16,0.012953367875647668
1325,2019,0.5,,
1326,2023,0.95,0.08999999999999986,10.555555555555571
1326,2022,4.8,1.26,3.8095238095238093
1326,2021,2.5,6.56,0.38109756097560976
1326,2020,3.8,3.34,1.1377245508982037
1326,2019,6.2,,
1340,2019,1.2,,
1341,2022,9.131,5.95,1.5346218487394958
1341,2021,6.0,5.99,1.001669449081803
1341,2020,5.0,6.29,0.794912559618442
1341,2019,3.0,,
4306,2022,1.0,1.72,0.5813953488372093
4306,2021,1.191,1.47,0.8102040816326531
4306,2020,0.305,1.51,0.20198675496688742
4306,2019,0.495,,
1402,2022,1.5,1.63,0.9202453987730062
1402,2021,1.35,1.94,0.6958762886597939
1402,2020,1.5,1.62,0.9259259259259258
1402,2019,1.8,,
1409,2022,1.4,1.75,0.7999999999999999
1409,2021,1.1,2.41,0.45643153526970953
1409,2020,0.55,1.79,0.30726256983240224
1409,2019,0.85,,
1410,2022,1.3,0.9,1.4444444444444444
1410,2021,0.9,1.29,0.6976744186046512
1410,2020,1.0,0.95,1.0526315789473684
1410,2019,1.3,,
1414,2023,0.32,0.32,1.0
1414,2022,0.538,0.47,1.14468085106383
1414,2021,0.246,0.65,0.37846153846153846
1414,2020,0.2,0.27,0.7407407407407407
1414,2019,0.2,,
1417,2022,0.35,0.56,0.6249999999999999
1417,2021,0.3,0.56,0.5357142857142857
1417,2020,0.5,-1.86,-0.26881720430107525
1419,2022,1.0,6.92,0.14450867052023122
1419,2021,1.0,1.51,0.6622516556291391
1419,2020,1.0,1.22,0.819672131147541
1419,2019,0.848,,
1423,2022,0.75,0.53,1.4150943396226414
1423,2021,1.8,1.11,1.6216216216216215
1423,2020,0.12,2.56,0.046875
1434,2022,1.0,2.02,0.49504950495049505
1434,2021,1.0,1.27,0.7874015748031495
1434,2020,2.5,1.25,2.0
1434,2019,2.1,,
1439,2022,0.2,1.14,0.1754385964912281
1439,2020,5.0,-2.65,-1.8867924528301887
1440,2022,0.8,0.7,1.142857142857143
1440,2021,0.35,1.77,0.19774011299435026
1440,2020,0.2,0.57,0.3508771929824562
1440,2019,0.4,,
1441,2019,3.304,,
1444,2022,0.3,0.51,0.5882352941176471
1444,2019,0.4,,
1445,2021,0.2,-0.19,-1.0526315789473684
1445,2020,0.203,-0.44,-0.4613636363636364
1445,2019,0.2,,
1446,2022,0.3,-0.27,-1.111111111111111
1446,2021,0.3,-0.12,-2.5
1446,2020,0.3,-0.05,-5.999999999999999
1446,2019,0.3,,
1447,2019,0.202,,
1451,2022,1.0,2.15,0.46511627906976744
1451,2021,0.6,1.23,0.4878048780487805
1451,2019,2.0,,
1452,2022,2.0,0.97,2.061855670103093
1452,2021,0.7,2.65,0.2641509433962264
1452,2020,1.2,0.74,1.6216216216216215
1452,2019,1.4,,
1454,2022,0.5,0.26,1.923076923076923
1454,2021,0.2,0.04,5.0
1454,2020,0.259,-0.31,-0.835483870967742
1454,2019,0.2,,
1455,2022,0.8,-0.53,-1.509433962264151
1455,2021,0.3,1.73,0.17341040462427745
1455,2019,0.2,,
1457,2023,1.0,0.35000000000000053,2.8571428571428528
1457,2022,1.0,4.55,0.21978021978021978
1457,2021,1.0,0.9,1.1111111111111112
1457,2020,1.0,2.89,0.3460207612456747
1457,2019,1.2,,
1459,2022,0.2,-1.4,-0.14285714285714288
1463,2022,0.4,0.42,0.9523809523809524
1463,2021,0.3,0.49,0.6122448979591837
1463,2020,0.6,0.33,1.8181818181818181
1463,2019,1.4,,
1464,2022,0.25,0.95,0.2631578947368421
1464,2021,0.3,0.48,0.625
1464,2020,1.5,-0.54,-2.7777777777777777
1464,2019,1.5,,
1465,2022,0.3,0.93,0.3225806451612903
1465,2021,0.3,-0.93,-0.3225806451612903
1465,2020,1.5,-0.24,-6.25
1465,2019,0.3,,
1466,2022,1.0,-0.6,-1.6666666666666667
1467,2021,0.7,-0.13,-5.384615384615384
1470,2022,0.8,0.38,2.1052631578947367
1470,2021,0.42,0.76,0.5526315789473684
1470,2020,0.8,0.41,1.9512195121951221
1470,2019,0.4,,
1473,2022,0.1,2.06,0.04854368932038835
1473,2021,0.2,-0.92,-0.21739130434782608
1473,2020,0.5,-2.45,-0.2040816326530612
1473,2019,0.5,,
1474,2022,0.5,0.6,0.8333333333333334
1474,2021,0.4,1.11,0.36036036036036034
1474,2019,0.3,,
1476,2023,17.0,21.229999999999997,0.8007536504945832
1476,2022,12.0,24.75,0.48484848484848486
1476,2021,11.0,18.77,0.5860415556739478
1476,2020,11.0,15.51,0.7092198581560284
1476,2019,11.0,,
1477,2023,14.5,14.76,0.9823848238482384
1477,2022,9.5,14.53,0.6538196834136271
1477,2021,8.0,11.2,0.7142857142857143
1477,2020,5.0,9.35,0.5347593582887701
1477,2019,7.6,,
4426,2020,1.2,-0.63,-1.9047619047619047
4426,2019,1.2,,
4438,2022,4.2,11.38,0.36906854130052724
4438,2021,3.2,6.1,0.5245901639344263
4438,2020,7.5,5.2,1.4423076923076923
4438,2019,6.0,,
4439,2022,6.5,11.74,0.5536626916524702
4439,2021,6.5,10.72,0.6063432835820896
4439,2020,8.039,13.25,0.6067169811320754
4440,2023,3.0,2.17,1.3824884792626728
4440,2022,4.0,2.9,1.3793103448275863
4440,2021,4.4,5.06,0.8695652173913044
4440,2020,4.0,2.85,1.4035087719298245
1503,2022,1.8,3.86,0.4663212435233161
1503,2021,1.6,3.46,0.46242774566473993
1503,2020,1.6,2.93,0.5460750853242321
1503,2019,1.5,,
1504,2023,1.5,2.25,0.6666666666666666
1504,2022,1.35,1.64,0.8231707317073171
1504,2021,1.15,2.38,0.4831932773109244
1504,2020,0.99,1.81,0.5469613259668508
1504,2019,0.9,,
1513,2022,2.8,5.21,0.5374280230326295
1513,2021,2.2,4.19,0.5250596658711217
1513,2020,1.197,3.59,0.3334261838440112
1513,2019,1.0,,
1514,2022,1.25,2.15,0.5813953488372093
1514,2021,1.2,1.6,0.7499999999999999
1514,2020,1.2,1.51,0.7947019867549668
1514,2019,1.0,,
1515,2022,3.0,-1.65,-1.8181818181818183
1515,2021,3.6,5.8,0.6206896551724138
1515,2020,3.0,4.5,0.6666666666666666
1515,2019,2.0,,
1517,2022,0.8,2.55,0.3137254901960785
1517,2021,0.35,2.0,0.175
1517,2020,0.202,0.76,0.2657894736842105
1517,2019,0.25,,
1519,2022,1.0,3.21,0.3115264797507788
1519,2021,1.3,1.11,1.1711711711711712
1519,2020,1.0,1.75,0.5714285714285714
1519,2019,0.3,,
1526,2023,1.6,5.68,0.28169014084507044
1526,2022,4.4,6.44,0.6832298136645963
1526,2021,1.8,4.38,0.4109589041095891
1526,2020,0.8,2.97,0.26936026936026936
1526,2019,1.0,,
1527,2022,2.4,5.36,0.4477611940298507
1527,2021,2.35,3.37,0.6973293768545994
1527,2020,1.2,2.94,0.40816326530612246
1527,2019,4.0,,
1528,2022,0.1,0.81,0.12345679012345678
1528,2021,0.1,1.14,0.08771929824561404
1528,2020,0.104,-0.61,-0.17049180327868851
1528,2019,0.201,,
1529,2022,0.9,0.31,2.903225806451613
1529,2021,0.5,1.03,0.4854368932038835
1529,2020,0.5,0.65,0.7692307692307692
1529,2019,0.2,,
1530,2022,1.5,3.67,0.4087193460490463
1530,2021,2.5,1.35,1.8518518518518516
1530,2020,1.5,3.92,0.3826530612244898
1530,2019,2.0,,
1531,2022,0.7,1.02,0.6862745098039215
1531,2021,0.202,0.94,0.21489361702127663
1531,2020,0.202,-0.3,-0.6733333333333335
1531,2019,0.5,,
1532,2022,2.11,2.14,0.9859813084112148
1532,2021,1.03,3.22,0.3198757763975155
1532,2020,0.922,1.47,0.6272108843537415
1532,2019,2.7,,
1535,2022,2.6,4.21,0.6175771971496438
1535,2021,1.35,3.26,0.4141104294478528
1535,2020,1.2,1.6,0.7499999999999999
1535,2019,1.1,,
1537,2022,7.0,10.77,0.6499535747446611
1537,2021,10.0,7.58,1.3192612137203166
1537,2020,10.0,10.75,0.9302325581395349
1537,2019,10.0,,
1539,2022,0.8,6.0,0.13333333333333333
1539,2020,0.8,-0.28,-2.857142857142857
1539,2019,1.8,,
1540,2022,0.3,1.27,0.23622047244094488
1540,2021,0.5,-0.04,-12.5
1540,2020,1.0,-0.24,-4.166666666666667
1540,2019,1.5,,
1541,2022,2.5,3.45,0.7246376811594203
1541,2021,3.0,3.8,0.7894736842105263
1541,2019,1.0,,
1558,2022,8.5,8.08,1.051980198019802
1558,2021,9.5,8.68,1.0944700460829493
1558,2020,8.8,13.76,0.6395348837209303
1558,2019,11.0,,
1560,2022,2.797,8.71,0.3211251435132032
1560,2021,2.798,4.78,0.5853556485355649
1560,2020,2.8,3.63,0.7713498622589532
1560,2019,3.5,,
1583,2022,2.5,6.42,0.3894080996884735
1583,2021,3.0,3.3,0.9090909090909092
1583,2020,3.0,4.39,0.6833712984054671
1583,2019,3.0,,
1589,2022,0.6,-3.96,-0.15151515151515152
1589,2021,1.5,1.95,0.7692307692307693
1589,2020,0.5,4.81,0.10395010395010396
1590,2022,13.3,30.07,0.442301296973728
1590,2021,9.162,33.67,0.27211167211167214
1590,2020,4.735,25.63,0.18474444010924698
1590,2019,5.24,,
1597,2022,2.5,3.91,0.639386189258312
1597,2021,1.5,3.82,0.39267015706806285
1597,2020,1.0,2.51,0.39840637450199207
1597,2019,2.0,,
2049,2022,4.5,12.98,0.34668721109399075
2049,2021,2.3,10.36,0.222007722007722
2049,2020,2.1,6.05,0.34710743801652894
2049,2019,7.3,,
3167,2022,4.0,3.91,1.0230179028132993
3167,2021,3.0,5.51,0.544464609800363
3167,2020,2.0,5.23,0.3824091778202677
3167,2019,3.5,,
4526,2022,0.2,0.36,0.5555555555555556
4526,2020,0.2,-1.36,-0.14705882352941177
4526,2019,0.3,,
4532,2023,0.9,1.3099999999999998,0.6870229007633589
4532,2022,0.7,1.38,0.5072463768115942
4532,2021,0.7,1.08,0.648148148148148
4532,2020,0.5,1.41,0.3546099290780142
4532,2019,1.2,,
4540,2022,1.3,3.02,0.43046357615894043
4540,2021,0.8,2.52,0.3174603174603175
4540,2019,3.6,,
4552,2022,1.0,3.84,0.2604166666666667
4552,2021,1.11,3.13,0.354632587859425
4552,2020,1.7,2.22,0.7657657657657657
4552,2019,3.9,,
4555,2022,1.777,2.55,0.6968627450980392
4555,2021,1.497,3.5,0.42771428571428577
4555,2020,1.2,2.04,0.5882352941176471
4555,2019,2.0,,
4560,2022,1.8,3.7,0.48648648648648646
4560,2021,1.0,2.95,0.3389830508474576
4560,2020,3.99,1.12,3.5625
4560,2019,3.471,,
4562,2019,1.5,,
4564,2022,1.3,0.31,4.193548387096774
4564,2021,1.3,1.75,0.7428571428571429
4564,2020,2.2,1.65,1.3333333333333335
4564,2019,2.5,,
4566,2023,2.1,4.78,0.4393305439330544
4566,2022,1.185,5.74,0.20644599303135888
4566,2021,1.187,2.35,0.5051063829787235
4566,2020,1.644,1.49,1.1033557046979865
4566,2019,1.994,,
4571,2023,3.6,6.32,0.569620253164557
4571,2022,4.5,6.66,0.6756756756756757
4571,2021,3.6,8.18,0.4400977995110025
4571,2020,3.3,6.0,0.5499999999999999
4572,2022,5.0,5.13,0.9746588693957116
4572,2021,5.0,1.5,3.3333333333333335
4572,2020,5.0,0.92,5.434782608695652
4572,2019,4.0,,
4576,2022,1.0,2.73,0.3663003663003663
4576,2021,0.4,2.48,0.16129032258064518
4576,2020,0.1,1.14,0.08771929824561404
4576,2019,0.8,,
4583,2023,10.0,11.879999999999999,0.8417508417508418
4583,2022,8.0,14.47,0.55286800276434
4583,2021,6.0,11.83,0.5071851225697379
5288,2022,4.5,14.29,0.31490552834149754
5288,2021,4.0,9.53,0.41972717733473247
5288,2020,5.5,8.4,0.6547619047619048
5288,2019,5.0,,
8222,2020,0.45,-0.58,-0.7758620689655173
8222,2019,0.5,,
8374,2022,0.9,0.7,1.2857142857142858
8374,2021,0.6,1.32,0.45454545454545453
8374,2020,0.3,0.78,0.3846153846153846
8374,2019,0.5,,
8996,2023,1.5,4.27,0.35128805620608905
8996,2022,1.5,3.37,0.44510385756676557
8996,2021,1.7,1.67,1.0179640718562875
8996,2020,2.0,1.26,1.5873015873015872
8996,2019,2.0,,
1603,2022,0.5,2.07,0.24154589371980678
1603,2021,0.5,1.78,0.2808988764044944
1603,2020,0.5,2.05,0.24390243902439027
1603,2019,0.5,,
1604,2023,1.5,1.8200000000000003,0.824175824175824
1604,2022,2.7,1.82,1.4835164835164836
1604,2021,2.5,4.52,0.5530973451327434
1604,2020,1.5,4.86,0.30864197530864196
1604,2019,1.4,,
1605,2023,1.8,4.89,0.3680981595092025
1605,2022,1.6,5.45,0.29357798165137616
1605,2021,0.9,4.27,0.21077283372365344
1605,2020,0.506,2.04,0.24803921568627452
1605,2019,1.2,,
1608,2022,1.5,-0.09,-16.666666666666668
1608,2021,0.7,3.27,0.21406727828746175
1608,2020,0.66,0.76,0.868421052631579
1609,2022,0.95,1.24,0.7661290322580645
1609,2021,0.7,2.3,0.30434782608695654
1609,2020,0.303,1.45,0.20896551724137932
1609,2019,0.7,,
1611,2022,0.8,0.24,3.3333333333333335
1611,2021,0.3,0.86,0.3488372093023256
1611,2020,1.2,0.23,5.217391304347825
1611,2019,0.15,,
1612,2022,2.8,1.12,2.4999999999999996
1612,2021,1.2,8.54,0.14051522248243561
1612,2020,0.5,1.64,0.3048780487804878
1612,2019,0.32,,
1614,2022,1.233,1.13,1.0911504424778764
1614,2021,0.949,1.42,0.6683098591549296
1614,2020,0.833,1.36,0.6124999999999999
1614,2019,0.909,,
1615,2022,2.8,2.9,0.9655172413793103
1615,2021,2.4,3.27,0.7339449541284403
1615,2020,2.0,2.67,0.7490636704119851
1615,2019,1.35,,
1617,2022,0.823,0.33,2.4939393939393937
1617,2021,0.6,1.45,0.41379310344827586
1617,2020,0.3,1.02,0.29411764705882354
1617,2019,1.0,,
1618,2022,0.5,1.29,0.38759689922480617
1618,2021,0.3,1.04,0.28846153846153844
1618,2020,0.3,1.0,0.3
1618,2019,0.3,,
1626,2021,0.997,-2.11,-0.4725118483412323
1626,2020,1.0,1.12,0.8928571428571428
4930,2023,2.0,3.0200000000000005,0.662251655629139
4930,2022,4.8,3.2,1.4999999999999998
4930,2021,3.5,3.19,1.09717868338558
4930,2020,0.5,2.23,0.2242152466367713
5283,2023,4.0,9.16,0.4366812227074236
5283,2022,8.0,10.21,0.7835455435847208
5283,2021,8.0,10.69,0.7483629560336764
5283,2020,8.164,12.73,0.6413197172034564
5283,2019,9.0,,
1708,2022,2.0,4.84,0.4132231404958678
1708,2021,1.8,2.69,0.6691449814126395
1708,2020,1.6,0.76,2.1052631578947367
1708,2019,1.0,,
1709,2022,1.7,2.27,0.7488986784140969
1709,2021,1.2,1.99,0.6030150753768844
1709,2020,0.5,1.16,0.4310344827586207
1709,2019,0.497,,
1710,2022,0.7,0.04,17.5
1710,2020,0.3,-1.22,-0.2459016393442623
1710,2019,1.75,,
1711,2023,0.35,0.53,0.660377358490566
1711,2022,0.5,0.68,0.7352941176470588
1711,2021,0.3,0.86,0.3488372093023256
1711,2020,0.3,0.39,0.7692307692307692
1711,2019,0.5,,
1712,2023,2.8,3.55,0.7887323943661971
1712,2022,1.8,3.92,0.45918367346938777
1712,2021,1.3,2.19,0.5936073059360731
1712,2020,1.3,1.7,0.7647058823529412
1712,2019,1.3,,
1713,2022,0.85,1.89,0.44973544973544977
1713,2021,0.66,1.04,0.6346153846153846
1713,2020,0.58,0.61,0.9508196721311475
1713,2019,0.71,,
1714,2022,0.42,0.37,1.135135135135135
1714,2021,0.7,0.72,0.9722222222222222
1714,2019,0.15,,
1717,2023,1.2,1.55,0.7741935483870968
1717,2022,1.5,2.15,0.6976744186046512
1717,2021,1.5,2.86,0.5244755244755245
1717,2020,1.4,2.05,0.6829268292682927
1717,2019,0.9,,
1718,2021,0.5,0.0,inf
1718,2019,0.75,,
1721,2021,0.5,-0.38,-1.3157894736842106
1722,2022,2.8,2.72,1.0294117647058822
1722,2021,2.3,3.1,0.7419354838709676
1722,2020,2.2,2.5,0.8800000000000001
1722,2019,2.2,,
1723,2022,4.0,7.33,0.5457025920873124
1723,2021,2.8,4.73,0.5919661733615221
1723,2020,5.0,3.09,1.6181229773462784
1723,2019,5.3,,
1725,2022,1.23,1.4,0.8785714285714287
1725,2021,0.96,1.76,0.5454545454545454
1725,2020,0.81,1.37,0.5912408759124087
1725,2019,0.84,,
1726,2022,3.5,5.03,0.6958250497017893
1726,2021,3.5,5.45,0.6422018348623852
1726,2020,3.2,5.13,0.6237816764132554
1726,2019,3.5,,
1727,2022,0.52,1.11,0.46846846846846846
1727,2020,0.2,-1.26,-0.15873015873015875
1727,2019,0.6,,
1730,2022,3.0,4.01,0.7481296758104738
1730,2021,3.86,4.14,0.9323671497584541
1730,2020,3.76,5.51,0.6823956442831216
1730,2019,3.5,,
1732,2022,0.35,0.12,2.9166666666666665
1732,2021,0.5,0.46,1.0869565217391304
1735,2021,0.5,0.1,5.0
1735,2020,0.65,0.74,0.8783783783783784
1735,2019,0.15,,
1773,2022,5.5,7.3,0.7534246575342466
1773,2021,4.6,8.08,0.5693069306930693
1773,2020,4.2,6.52,0.6441717791411044
1773,2019,5.0,,
1776,2022,1.5,0.27,5.555555555555555
1776,2021,1.0,2.05,0.48780487804878053
1776,2020,0.846,0.65,1.3015384615384615
1776,2019,0.8,,
3708,2022,1.429,9.48,0.15073839662447258
3708,2021,3.5,2.01,1.7412935323383087
3708,2020,4.002,6.82,0.5868035190615836
3708,2019,5.0,,
4720,2022,0.2,0.2,1.0
4720,2020,0.299,0.78,0.3833333333333333
4720,2019,0.15,,
4722,2023,1.9,2.0,0.95
4722,2022,2.2,3.15,0.6984126984126985
4722,2021,2.0,3.73,0.5361930294906166
4722,2020,1.8,2.83,0.6360424028268551
4722,2019,1.8,,
4739,2022,3.0,4.72,0.6355932203389831
4739,2021,1.2,4.67,0.2569593147751606
4739,2020,1.227,1.73,0.7092485549132949
4739,2019,3.2,,
4755,2022,5.0,8.43,0.5931198102016607
4755,2021,3.0,6.69,0.44843049327354256
4755,2020,2.5,4.36,0.573394495412844
4755,2019,2.7,,
4763,2022,8.825,20.72,0.4259169884169884
4763,2021,6.283,6.23,1.0085072231139647
4763,2020,4.754,10.07,0.4720953326713008
4763,2019,5.0,,
4764,2022,1.0,0.71,1.4084507042253522
4764,2021,1.0,1.32,0.7575757575757576
4764,2020,1.222,0.81,1.5086419753086417
4764,2019,6.0,,
4766,2022,6.0,14.44,0.41551246537396125
4766,2021,7.0,7.26,0.9641873278236915
4766,2020,6.0,10.12,0.5928853754940712
4766,2019,5.0,,
4770,2023,12.0,24.769999999999996,0.48445700444085593
4770,2022,8.0,22.54,0.354924578527063
4770,2021,4.3,13.94,0.3084648493543759
1598,2023,0.5,-1.17,-0.4273504273504274
1598,2022,2.515,-0.61,-4.122950819672131
1598,2021,7.468,3.48,2.145977011494253
1598,2020,1.106,11.69,0.09461077844311379
1598,2019,0.7,,
1701,2022,0.9,1.61,0.5590062111801242
1701,2021,1.0,1.74,0.5747126436781609
1701,2020,0.8,1.88,0.4255319148936171
1701,2019,0.8,,
1707,2022,6.1,9.84,0.6199186991869918
1707,2021,6.4,8.81,0.7264472190692395
1707,2020,6.5,9.34,0.69593147751606
1707,2019,6.5,,
1720,2022,2.5,4.56,0.5482456140350878
1720,2021,1.8,3.95,0.45569620253164556
1720,2020,1.5,2.93,0.5119453924914675
1720,2019,1.5,,
1731,2022,1.17,1.22,0.9590163934426229
1731,2021,1.0,1.24,0.8064516129032259
1731,2020,0.6,1.29,0.46511627906976744
1731,2019,0.5,,
1733,2023,1.4,1.7200000000000002,0.8139534883720929
1733,2022,1.3,1.82,0.7142857142857143
1733,2021,1.094,2.03,0.5389162561576356
1733,2020,1.106,0.95,1.1642105263157896
1733,2019,0.848,,
1734,2022,0.2,1.34,0.14925373134328357
1734,2021,0.2,-0.23,-0.8695652173913043
1734,2020,0.2,-0.17,-1.1764705882352942
1734,2019,0.1,,
1736,2022,0.5,1.42,0.35211267605633806
1736,2021,1.12,0.13,8.615384615384617
1736,2020,1.402,2.24,0.625892857142857
1736,2019,0.65,,
1752,2023,2.3,4.01,0.57356608478803
1752,2022,1.8,3.49,0.5157593123209169
1752,2021,1.6,1.94,0.8247422680412372
1752,2020,1.7,1.82,0.934065934065934
1752,2019,1.2,,
1760,2022,1.5,2.13,0.7042253521126761
1760,2021,0.7,1.32,0.5303030303030303
1760,2020,1.8,0.36,5.0
1760,2019,1.8,,
1762,2022,1.3,6.01,0.21630615640599002
1762,2021,1.5,5.17,0.2901353965183752
