code,content,date
毅嘉,毅嘉1月營收6.04億元年增2.03% 1—1月達6.04億元,2023-02-01
毅嘉,毅嘉:公告本公司自行結算112年01月合併營收約新台幣6.04億元。,2023-02-01
兆豐金,兆豐金:代本公司之子公司兆豐產物保險股份有限公司公告其董事會通過對財團法人兆豐慈善基金會之捐贈案,2023-02-01
眾達-KY,眾達-KY:眾達科技股份有限公司（公司代號：4977）107年第1次員工認股權憑證首次行使認購普通股股票上市買賣日期。,2023-02-01
國泰金,國泰金:公告本公司111年現金增資普通股上市暨股款繳納憑證終止上市日期,2023-02-01
富邦金,"富邦金:富邦金控代子公司富邦人壽公告處分對沖基金Tiger Global, Ltd.(補充111/10/31公告)",2023-02-01
禾昌,禾昌1月營收1.14億元年減44.18% 1—1月達1.14億元,2023-02-01
光聯,光聯1月營收1.44億元年減5.33% 1—1月達1.44億元,2023-02-01
國泰金,國泰金:公告本公司111年度現金增資催繳期間屆滿暨股票發放事宜,2023-02-01
遠雄,遠雄:公告本公司續與地主就新北市林口區土地簽訂合作興建房屋契約書,2023-02-01
華邦電,華邦電:本公司舉行111年下半年度法人說明會，將於會中就公司111年下半年度財務數字與營運概況做說明,2023-02-01
淳紳,淳紳:本公司及子公司明水公司與帛詩華社區管理委員會、黃○卿等確認區分所有權人會議決議無效等事件第一審民事訴訟部分勝訴，帛詩華社區管理委員會不服提起第二審上訴。,2023-02-01
眾達-KY,眾達-KY:本公司西元2018年度第1次第2期員工認股權憑證首次行使認購普通股股票上市日期公告,2023-02-01
眾達-KY,眾達-KY:本公司西元2018年度第1次第1期員工認股權憑證首次行使認購普通股股票上市日期公告,2023-02-01
皇將,皇將:公告本公司111年現金增資新股發放暨股款繳納憑證終止上櫃日期,2023-02-01
易飛網,易飛網:本公司111年現金增資發行新股普通股上櫃暨股款繳納憑證終止上櫃日期公告,2023-02-01
淘帝-KY,淘帝-KY:澄清有關媒體報導「掩飾母公司虧損淘帝-KY董事長等4高層涉造假財報、內線避損被訴」等相關內容,2023-02-01
群益證,群益證:公告本公司法人董事代表人辭任,2023-02-01
和泰車,和泰車:澄清自由時報報導,2023-02-01
凱碩,凱碩:知悉董事從事大陸地區事業之職務異動情形,2023-02-01
國泰金,國泰金:公告本公司變更海外存託憑證之存託銀行及保管銀行,2023-02-01
仁寶,仁寶:知悉董事從事大陸地區之競業情形,2023-02-01
雃博,雃博:公告12月份合併營收更正,2023-02-01
凱美,凱美:代子公司凱美電機(香港)有限公司公告辦理解散清算,2023-02-01
劍湖山,劍湖山:公告本公司自行撤回減資彌補虧損案,2023-02-01
蔚華科,蔚華科:更正111年4~11月各月之背書保證明細表資訊,2023-02-01
愛山林,愛山林:公告本公司現金增資認股基準日相關事宜,2023-02-01
彩晶,彩晶:公告本公司發言人及代理發言人異動,2023-02-01
淳紳,淳紳:公告本公司法人董事代表人辭任。,2023-02-01
迅得,迅得1月營收5.32億元年增22.26% 1—1月達5.32億元,2023-02-01
國際中橡,國際中橡:代子公司Continental Carbon Eco Technology Pvt. Ltd.(“CCET”)公告取得使用權資產,2023-02-01
康舒,康舒:代重要子公司康舒電子(武漢)有限公司公告總經理異動,2023-02-01
康舒,康舒:代重要子公司康舒電子(東莞)有限公司公告總經理異動,2023-02-01
精確,精確:精確實業股份有限公司（公司代號：3162）註銷收回股票事宜。,2023-02-01
台翰,台翰:本公司111年度第1次發行限制員工權利新股股票發放暨上櫃公告,2023-02-01
台端,台端1月營收0.01億元年減58.71% 1—1月達0.01億元,2023-02-01
金麗科,金麗科1月營收0.19億元年減74.53% 1—1月達0.19億元,2023-02-01
德律,德律1月營收2.55億元年減64.37% 1—1月達2.55億元,2023-02-01
花仙子,花仙子:公告本公司內部稽核主管異動,2023-02-01
力麒,力麒:代子公司儷京公告「力麗溫德姆溫泉酒店新建工程」之弱電系統設備工程,2023-02-01
保瑞,保瑞:公告本公司111年12月份自結合併財務報告之流動比率、速動比率及負債比率,2023-02-01
第一金,第一金:公告本公司召開2022年第四季法人說明會,2023-02-01
致新,致新:本公司受邀參加凱基證券所舉辦之線上法說會,2023-02-01
敬鵬,敬鵬:代子公司 Draco PCB Public Co. Ltd.公告董事長異動,2023-02-01
西勝,西勝:澄清媒體針對本公司董事酬金之報導,2023-02-01
聯亞,聯亞:本公司董事會決議召開112年股東常會相關事宜,2023-02-01
永信建,永信建1月營收0.79億元年減62.58% 1—1月達0.79億元,2023-02-01
聯亞,聯亞:本公司董事會決議股利分派及資本公積發放現金,2023-02-01
聯亞,聯亞:本公司董事會通過111年度財務報告,2023-02-01
劍湖山,劍湖山:公告本公司董事會決議不分派股利,2023-02-01
劍湖山,劍湖山:公告本公司董事會通過111年年度合併財務報告,2023-02-01
晶心科,晶心科:澄清2023.02.01工商時報報導,2023-02-01
泰福-KY,泰福-KY:公告本公司減資彌補虧損相關事宜,2023-02-01
