code,content,date
台泥,台泥:公告本公司買回庫藏股金額達新台幣三億元以上,2023-02-03
合富-KY,合富-KY1月營收3.73億元年減25.56% 1—1月達3.73億元,2023-02-03
華南金,華南金:公告本公司自然人董事異動,2023-02-03
南港,南港1月營收4.73億元年減19.93% 1—1月達4.73億元,2023-02-03
聯邦銀,聯邦銀:公布本行112年1月自結盈餘相關資訊。,2023-02-03
新天地,新天地1月營收1.96億元年增33.42% 1—1月達1.96億元,2023-02-03
台燿,台燿1月營收10.83億元年減40.56% 1—1月達10.83億元,2023-02-03
華興,華興1月營收0.54億元年減41.1% 1—1月達0.54億元,2023-02-03
中裕,中裕1月營收0.25億元年增85.83% 1—1月達0.25億元,2023-02-03
新鉅科,新鉅科1月營收0.89億元年減55.47% 1—1月達0.89億元,2023-02-03
艾笛森,艾笛森1月營收1.52億元年減13.51% 1—1月達1.52億元,2023-02-03
加百裕,加百裕1月營收4.47億元年減56.13% 1—1月達4.47億元,2023-02-03
茂訊,茂訊1月營收1.80億元年增2.68% 1—1月達1.80億元,2023-02-03
晶宏,晶宏1月營收1.91億元年減26.48% 1—1月達1.91億元,2023-02-03
和鑫,和鑫1月營收0.86億元年減64.93% 1—1月達0.86億元,2023-02-03
兆利,兆利:代重要子公司Smart Hinge Holdings Ltd.公告增資100%轉投資之旺星控股有限公司,2023-02-03
美律,美律1月營收26.94億元年增13.46% 1—1月達26.94億元,2023-02-03
錩新,錩新1月營收1.69億元年減35.55% 1—1月達1.69億元,2023-02-03
兆利,兆利:本公司增資100%轉投資之Smart Hinge Holdings Ltd.,2023-02-03
佳世達,佳世達1月營收157.93億元年減23.13% 1—1月達157.93億元,2023-02-03
艾姆勒,艾姆勒1月營收0.51億元年減42.97% 1—1月達0.51億元,2023-02-03
兆利,兆利:代重要子公司旺星控股有限公司公告決議辦理現金增資,2023-02-03
兆利,兆利:代重要子公司Smart Hinge Holdings Ltd.公告決議辦理現金增資,2023-02-03
建暐,建暐:本公司國內第三次有擔保轉換公司債於111年度第4季轉換普通股之情形,2023-02-03
可寧衛,可寧衛:公告可寧衛股份有限公司國內第一次無擔保轉換公司債(簡稱：可寧衛一，代碼：84221) 轉換作業開始之轉換日期等相關事項。,2023-02-03
帆宣,帆宣:帆宣系統科技股份有限公司（公司代號：6196）111年第4季轉換普通股股票已上市股數。,2023-02-03
翔名,翔名:本公司以股份轉換方式取得芝和精密股份有限公司100%股份，增資新股權利證書劃撥暨上櫃日期公告,2023-02-03
御頂,御頂:(更正)111年12月份資金貸與資訊接露明細表,2023-02-03
美律,美律:公告本公司自行結算112年1月集團合併營收,2023-02-03
御頂,御頂:(更正)112年1月銀行融資額度與使用情形暨未來三個月現金收支預估情形,2023-02-03
長科*,長科*:公告本公司111年第四季合併自結損益(每股面額0.4元),2023-02-03
杏昌,杏昌:公告本公司申請延長現金增資發行普通股乙案之募集時間三個月業經金管會核准在案,2023-02-03
為升,為升:為升電裝工業股份有限公司（公司代號：2231）國內 第 3 次 無擔保轉換公司債首次轉換之普通股股票上市買賣日期。,2023-02-03
榮成,榮成:榮成紙業股份有限公司（公司代號：1909）111年現金增資股票上市掛牌日期暨111年股款繳納憑證終止上市日期。,2023-02-03
華通,華通1月營收49.08億元年減23.29% 1—1月達49.08億元,2023-02-03
中砂,中砂1月營收4.70億元年減11.44% 1—1月達4.70億元,2023-02-03
勤益控,勤益控1月營收0.52億元年減22.49% 1—1月達0.52億元,2023-02-03
佳世達,佳世達:佳世達一一二年一月份合併營收NT$157.93億元,2023-02-03
翔名,翔名:公告本公司與芝和精密股份有限公司股份轉換案之股份轉換基準日變更事宜,2023-02-03
聯嘉,聯嘉:本公司審計委員會暨薪酬及提名委員會委員逝世,2023-02-03
聯嘉,聯嘉:本公司獨立董事逝世,2023-02-03
聯發科,聯發科:本公司及代子公司公告董事會核准無形資產資本預算案,2023-02-03
聯發科,聯發科:本公司2022年第4季與2022全年合併財務報告,2023-02-03
富強鑫,富強鑫:本公司代子公司BVI富強鑫依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第二款及第三款公告,2023-02-03
富強鑫,富強鑫:公司代子公司東莞富強鑫依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款公告,2023-02-03
可成,可成:公告本公司買回股份金額達新台幣三億元以上,2023-02-03
榮成,榮成:本公司111年現金增資發行新股股票上市暨股款繳納憑證終止上市日期公告,2023-02-03
英濟,英濟:公告本公司董事異動,2023-02-03
東生華,東生華1月營收0.41億元年減17.37% 1—1月達0.41億元,2023-02-03
南電,南電1月營收41.06億元年減21.65% 1—1月達41.06億元,2023-02-03
九暘,九暘1月營收0.82億元年減20.56% 1—1月達0.82億元,2023-02-03
華上,華上1月營收0.03億元年增6.5% 1—1月達0.03億元,2023-02-03
凌陽創新,凌陽創新1月營收1.01億元年減46.35% 1—1月達1.01億元,2023-02-03
達興材料,達興材料1月營收3.13億元年減22.71% 1—1月達3.13億元,2023-02-03
東科-KY,東科-KY1月營收5.49億元年減30.65% 1—1月達5.49億元,2023-02-03
