code,content,date
邁達康,邁達康8月營收1.06億元年減1.26% 1—8月達6.01億元,2022-09-09
劍湖山,劍湖山8月營收0.85億元年增418.57% 1—8月達2.99億元,2022-09-09
麗正,麗正8月營收0.82億元年增32.35% 1—8月達5.74億元,2022-09-09
東明-KY,東明-KY:代子公司浙江東明不銹鋼制品股份有限公司公告111年度股東常會重要決議事項,2022-09-09
弘塑,弘塑8月營收2.78億元年減9.1% 1—8月達24.14億元,2022-09-09
瀚宇博,瀚宇博8月營收41.39億元年減34.07% 1—8月達321.17億元,2022-09-09
濟生,濟生8月營收0.96億元年增7.93% 1—8月達7.56億元,2022-09-09
廣華-KY,廣華-KY8月營收6.17億元年增11.42% 1—8月達50.43億元,2022-09-09
環宇-KY,環宇-KY8月營收0.89億元年減13.83% 1—8月達8.27億元,2022-09-09
禾昌,禾昌8月營收1.61億元年減10.81% 1—8月達14.28億元,2022-09-09
光聯,光聯8月營收1.50億元年減13.47% 1—8月達12.74億元,2022-09-09
大略-KY,大略-KY8月營收0.20億元年增7.57% 1—8月達1.72億元,2022-09-09
紅木-KY,紅木-KY8月營收1.68億元年增112.51% 1—8月達9.03億元,2022-09-09
華園,華園8月營收1.32億元年增58.08% 1—8月達8.82億元,2022-09-09
綠河-KY,綠河-KY8月營收1.70億元年減44.39% 1—8月達27.88億元,2022-09-09
訊芯-KY,訊芯-KY8月營收5.96億元年增103.58% 1—8月達31.66億元,2022-09-09
通訊-KY,通訊-KY8月營收0.00億元年減70.46% 1—8月達0.04億元,2022-09-09
亞都麗緻,亞都麗緻8月營收0.19億元年增96.39% 1—8月達1.39億元,2022-09-09
元創精密,元創精密8月營收1.40億元年減11.37% 1—8月達9.79億元,2022-09-09
富野,富野8月營收0.67億元年增196.38% 1—8月達3.84億元,2022-09-09
兆利,兆利8月營收6.06億元年減1.91% 1—8月達47.89億元,2022-09-09
