code,content,date
百和興業-KY,百和興業-KY:公告越南百宏責任有限公司董事異動,2022-11-25
朋程,朋程:本公司董事會決議透過鉅額逐筆交易取得台灣茂矽電子股份有限公司普通股(更正公告款次、內文),2022-11-25
山富,山富:本公司111年度現金增資催繳公告,2022-11-25
山富,山富:公告本公司111年現金增資全體董監事放棄認購股數達得認購股數二分之一以上，並洽特定人認購事宜,2022-11-25
國泰金,國泰金:代子公司國泰創業投資(股)公司公告向國泰人壽保險(股)公司取得使用權資產,2022-11-25
朋程,朋程:本公司董事會決議透過鉅額逐筆交易取得台灣茂矽電子股份有限公司普通股(更正公告款次),2022-11-25
皇翔,皇翔:代重要子公司北昌營造股份有限公司公告除息基準日,2022-11-25
雃博,雃博:公告本公司召開111年第二次法人說明會,2022-11-25
高僑,高僑:本公司受邀參加由凱基證券舉辦之線上法人說明會,2022-11-25
駿熠電,駿熠電:公告本公司111年10月份自結合併財務報告之負債比率、流動比率及速動比率。,2022-11-25
駿熠電,駿熠電:公告本公司董事會決議召開111年第1次股東臨時會相關事宜,2022-11-25
直得,直得:本公司受邀參加凱基證券所舉辦之線上法人說明會,2022-11-25
朋程,朋程:本公司董事會決議通過取得台灣茂矽電子股份有限公司普通股股份案,2022-11-25
百和興業-KY,百和興業-KY:(第4次補充)代子公司無錫百宏置業有限公司公告董事會決議自有土地委託承造之相關事宜,2022-11-25
合勤控,合勤控:代子公司盟創科技(股)公司公告營運長異動案,2022-11-25
百和,百和:(第4次補充)代子公司無錫百宏置業有限公司公告董事會決議自有土地委託承造之相關事宜,2022-11-25
強茂,強茂:代子公司璟茂科技(股)公司公告董事會決議處分台灣茂矽電子(股)公司普通股,2022-11-25
驊宏資,驊宏資:公告本公司將於111年11月28日召開線上法人說明會,2022-11-25
南僑,南僑:代重要子公司南僑食品集團(上海)股份有限公司公告董事會通過新增資金貸與金額達公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款公告標準,2022-11-25
富邦金,富邦金:富邦金控代富邦現代人壽公告擬以私募方式發行無擔保混合債(補充111/11/11公告),2022-11-25
英濟,英濟:本公司之子公司蘇州英田電子科技有限公司對上海英濟電子塑膠有限公司背書保證達「公開發行公司資金貸與及背書保證處理準則」第二十五條第一項第四款公告標準,2022-11-25
可寧衛,可寧衛:代子公司可寧衛企業股份有限公司公告董事會決議對子公司大創綠能股份有限公司現金增資,2022-11-25
宣德,宣德:代子公司東莞立德精密工業有限公司公告取得理財商品,2022-11-25
博智,博智:公告本公司註銷限制員工權利新股減資變更登記完成,2022-11-25
森田,森田:森田111年11月25日重訊記者會之新聞稿,2022-11-25
華立,華立:公告本公司審計委員辭任,2022-11-25
華立,華立:公告本公司獨立董事辭任,2022-11-25
台新金,台新金:台新金控代子公司台新人壽公告取得位於台南市之建物及土地,2022-11-25
TPK-KY,TPK-KY:更正本公司111年第3季合併財務報告附表一資金貸與他人資訊,2022-11-25
森田,森田:臺南市政府環保局向本公司追繳固定污染源空氣污染防制費,2022-11-25
達運,達運:代重要子公司達運精密工業(廈門)有限公司公告配合當地政府政策暫時停工事宜,2022-11-25
宅配通,宅配通:公告本公司會計主管異動,2022-11-25
台聯電,台聯電:公告本公司舉辦111年線上法說會,2022-11-25
花王,花王:公告111年10月自結個別財務報告之負債比率、流動比率及速動比率,2022-11-25
久陽,久陽:代重要子公司榮福股份有限公司公告接獲主管機關同意廢止111年第一次現金增資發行新股案,2022-11-25
北基,北基:公告本公司因違反「土壤及地下水污染整治法」遭裁處罰鍰累計達新台幣100萬元以上,2022-11-25
大宇資,大宇資:補正111年11月3日之公告-代取得人ANGEL FUND (ASIA) INVESTMENTS LIMITED、Mighty Build Ventures Limited等共同取得人依證交法第43條之1第1項規定辦理公告,2022-11-25
大宇資,大宇資:補正111年11月3日之公告 - 代共同取得人依證交法第43條之1第1項規定辦理公告,2022-11-25
上緯投控,上緯投控:代子公司上緯興業股份有限公司公告董事會決議盈餘分配修正案,2022-11-25
聯嘉,聯嘉:公告本公司國內第一次有擔保轉換公司債(簡稱：聯嘉一，代碼：62881)到期還本暨終止上櫃公告,2022-11-25
矽格,矽格:矽格股份有限公司（公司代號：6257）111年第4季轉換普通股股票已上市股數。,2022-11-25
元大金,元大金:元大金控代子公司元大投信公告董事會決議股東臨時會召開日期、召集事由及停止變更股東名簿記載之日期,2022-11-25
統一,統一:代子公司Cayman President Holdings Ltd. 公告取得理財產品,2022-11-25
合庫金,合庫金:(補充公告)代子公司合作金庫商業銀行公告發行無到期日非累積次順位金融債券新臺幣伍拾陸億玖仟萬元整。(111年9月26日董事會通過公告之壹佰億元額度內發行),2022-11-25
中信金,中信金:本公司董事會決議111年度限制員工權利新股增資基準日,2022-11-25
中信金,中信金:代子公司中國信託商業銀行公告關係人捐贈案,2022-11-25
豐謙,豐謙:本公司受邀參加永豐金證券舉辦之線上法人說明會。,2022-11-25
樂威科-KY,樂威科-KY:更正本公司111年及110年第一季至第三季財務報告中110年度之每股盈餘及iXBRL申報資訊,2022-11-25
致和證,致和證:本公司受邀參加統一證券國際法人部舉辦之線上法人說明會。,2022-11-25
桓鼎-KY,桓鼎-KY:公告本公司發行中華民國境內第三次無擔保可轉換公司債之委託代收價款行庫及存儲專戶行庫,2022-11-25
力新,力新:代重要子公司Gold Glem Holdings Limited公告自然人董事異動及三分之一以上董事發生變動,2022-11-25
十銓,十銓:公告本公司研發主管異動,2022-11-25
矽統,矽統:本公司董事會通過之重要議案,2022-11-25
元隆,元隆:公告本公司111年10月31日流動比率、速動比率、負債比率(自結數),2022-11-25
網家,網家:公告本公司註銷限制員工權利新股減資變更登記,2022-11-25
和成,和成:係因本公司有價證券於集中交易市場達公布注意交易資訊標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解,2022-11-25
大宇,大宇:公告本公司受邀參加群益金鼎證券舉辦之法人說明會,2022-11-25
日勝化,日勝化:本公司受邀參加凱基證券所舉辦之線上法人說明會,2022-11-25
事欣科,事欣科:本公司受邀參加統一綜合證券舉辦之線上法說會,2022-11-25
昱捷,昱捷:公告本公司111年10月份自結合併財務報表之負債比率、流動比率及速動比率,2022-11-25
鎰勝,鎰勝:本公司之子公司YEARSWEEP新增背書保證金額達新臺幣三千萬元以上且達本公司最近期財務報表淨值百分之五以上者。,2022-11-25
皇普,皇普:公告本公司大新段238等四筆地號之集合住宅新建工程承攬契約,2022-11-25
恩德,恩德:本公司受邀參加統一綜合證券舉辦之線上法說會,2022-11-25
中信金,中信金:本公司將於111年11月30日至12月02日參加Citi舉辦之投資人說明會(Citi Taiwan Corporate Day),2022-11-25
志超,志超:本公司董事會決議投資設立越南子公司,2022-11-25
中信金,中信金:本公司111年第三季單季自結損益與會計師核閱結果差異說明,2022-11-25
來思達,來思達:公告來思達股份有限公司第一次有擔保轉換公司債(簡稱：來思達一，代碼：80661)因於111年12月17日到期暨訂於111年12月19日終止櫃檯買賣等相關事宜。,2022-11-25
昱捷,昱捷:公告本公司111年現金增資發行新股上櫃暨股款繳納憑證終止上櫃日期,2022-11-25
中信金,中信金:本公司111年前三季合併財務報告經董事會決議通過,2022-11-25
中信金,中信金:公告本公司99年度合併營利事業所得稅行政訴訟之判決結果,2022-11-25
誠研,誠研:代重要子公司謙華科技股份有公司公告111年第一次股東臨時會補選一席監察人之當選名單,2022-11-25
誠研,誠研:代重要子公司謙華科技股份有限公司公告111年第一次股東臨時會決議事項。,2022-11-25
元大金,元大金:元大金控代子公司元大證券(韓國)公告取得Y-Biologics Inc.之可轉換特別股,2022-11-25
其祥-KY,其祥-KY:公告本公司111年10月自結財務報告之負債比率、流動比及速動比率,2022-11-25
合機,合機:公告本公司召開法人說明會相關內容。,2022-11-25
蔚華科,蔚華科:公告本公司董事長請辭董事長一職，仍維持本公司董事職務,2022-11-25
智原,智原:公告本公司受邀參加機構投資人說明會,2022-11-25
永彰,永彰:公告本公司受邀參加福邦證券舉辦之線上法人說明會,2022-11-25
南仁湖,南仁湖:代子公司海景世界企業(股)公告董事會決議通過資金貸與南仁湖育樂股份有限公司,2022-11-25
南仁湖,南仁湖:代子公司海景世界企業(股)公司公告董事會決議通過調減海(王成)股份有限公司資金貸與額度案,2022-11-25
進泰電子,進泰電子:代重要子公司東莞進泰電子有限公司公告配合當地政府防疫措施之說明,2022-11-25
彩晶,彩晶:公告本公司取得臺灣水泥股份有限公司111年度第二次無擔保普通公司債甲券,2022-11-25
位速,位速:公告本公司111年10月份自結合併財務報表之流動比率、速動比率及負債比率,2022-11-25
富邦媒,富邦媒:本公司受邀參加Citi舉辦之Citi Taiwan Corporate Day,2022-11-25
台翰,台翰:公告本公司董事長依董事會授權決定限制員工權利新股之增資基準日,2022-11-25
旭源,旭源:公告本公司受邀參加華南永昌證券於111年11月29日舉辦之法人說明會相關資訊,2022-11-25
永利聯合,永利聯合:公告本公司111年10月份自結合併財務報告之負債比率、流動比率及速動比率,2022-11-25
天鈺,天鈺:代非公開發行公司之取得人依證券交易法第43條之1第1項規定辦理公告,2022-11-25
來思達,來思達:公告本公司國內第一次有擔保轉換公司債(簡稱：來思達一，代碼80661)到期還本暨終止櫃檯買賣,2022-11-25
達邦蛋白,達邦蛋白:達邦蛋白股份有限公司（公司代號：6578）註銷收回股票事宜。,2022-11-25
佳凌,佳凌:佳凌科技股份有限公司（公司代號：4976）註銷收回股票事宜。,2022-11-25
眾達-KY,眾達-KY:公告本公司111年度現金增資發行新股相關事宜,2022-11-25
皇將,皇將:公告本公司111年現金增資發行新股相關事宜,2022-11-25
建達,建達:公告本公司111年10月份自結合併財務報表之負債比率、流動比率及速動比率,2022-11-25
六暉-KY,六暉-KY:本公司受邀參加凱基證券舉辦之線上法人說明會,2022-11-25
福興,福興:本公司受邀參加宏遠證券12/8舉辦之法人說明會,2022-11-25
允強,允強:公告本公司董事會決議對子公司YC INOX TR Celik Sanayi ve Ticaret A.S.(允強土耳其鋼鐵工貿公司)增資,2022-11-25
眾達-KY,眾達-KY:公告本公司訂定111年現金增資認股基準日等相關事宜,2022-11-25
隴華,隴華:本公司受邀參加元大證券舉辦之線上法人說明會,2022-11-25
燁輝,燁輝:公告本公司將於111年11月28日召開法人說明會,2022-11-25
劍湖山,劍湖山:公告本公司111年10月份自結合併財務報告之負債比率、流動比率及速動比率。,2022-11-25
第一金,第一金:公告本公司法人董事﹝財政部﹞代表人辭任,2022-11-25
宏觀,宏觀:公告本公司發言人及代理發言人異動,2022-11-25
晶宇,晶宇:公告本公司111年10月份自結合併財務報告之負債比率、流動比率及速動比率。,2022-11-25
智基,智基:本公司受邀參加福邦證券所舉辦之法人說明會,2022-11-25
亞德客-KY,亞德客-KY:代子公司廣東亞德客自動化工業有限公司公告取得及處分結構性存款商品,2022-11-25
風青,風青:公告本公司註銷第四次買回庫藏股減資變更登記完成,2022-11-25
波力-KY,波力-KY:公告本公司111年第3季現金股利除息基準日,2022-11-25
易威,易威:本公司受邀參加德信證券舉辦之法人說明會,2022-11-25
吉祥全,吉祥全:代子公司浩瀚數位(股)公司公告收買股份辦理減資變更登記完成事宜,2022-11-25
翔耀,翔耀:本公司受邀參加元大證券舉辦之線上法人說明會,2022-11-25
三圓,三圓:公告本公司111年10月份自結合併財務報告之流動比率、速動比率及負債比率,2022-11-25
天鈺,天鈺:本公司受邀參加機構投資人說明會,2022-11-25
台橡,台橡:代子公司TSRC (Hong Kong) Limited公告股東會重要決議事宜,2022-11-25
捷必勝-KY,捷必勝-KY:公告本公司111年10月份自結合併財務報表之流動比率、速動比率及負債比率,2022-11-25
裕融,裕融:代子公司裕富數位資融(股)公司公告與臺灣銀行及永豐商業銀行為主辦銀行之聯合授信銀行團簽訂聯合授信合約案,2022-11-25
台數科,台數科:代子公司中投有線電視(股)公司補充公告111/5/9向本公司購買得濬(股)公司部份股權案(於111/11/25給付價金),2022-11-25
台數科,台數科:代子公司台灣佳光電訊(股)公司補充公告111/5/9向本公司購買得濬(股)公司部份股權案(於111/11/25給付價金),2022-11-25
台數科,台數科:代子公司大屯有線電視(股)公司補充公告111/5/9向本公司購買得濬(股)公司部份股權案(於111/11/25給付價金),2022-11-25
台數科,台數科:代子公司佳聯有線電視(股)公司補充公告111/5/9向本公司購買得濬(股)公司部份股權案(於111/11/25給付價金),2022-11-25
三豐,三豐:本公司受邀參加元富證券舉辦之線上法人說明會,2022-11-25
台數科,台數科:補充公告111/05/09本公司處分子公司得濬(股)公司部份股權案,2022-11-25
福懋,福懋:本公司受邀參加華南永昌證券舉辦之法人說明會,2022-11-25
合世,合世:公告本公司受邀參加中國信託證券所舉辦之法說會,2022-11-25
皇將,皇將:111年現金增資認股基準日及相關事宜(補充發行價格、代收股款銀行及存儲專戶銀行),2022-11-25
立隆電,立隆電:立隆電子工業股份有限公司（公司代號：2472）111年第3季轉換普通股股票已上市股數。,2022-11-25
台橡,台橡:代子公司TSRC (Hong Kong) Limited公告110年盈餘分配,2022-11-25
台橡,台橡:代子公司TSRC (Hong Kong) Limited公告股東會召開事宜,2022-11-25
淳紳,淳紳:公告更補正本公司110年度及111年度第1季合併財報部分內容,2022-11-25
淳紳,淳紳:公告本公司111年10月份自結合併財務報表之負債比率、流動比率及速動比率相關資訊,2022-11-25
億光,億光:說明自由時報對本公司的報導,2022-11-25
聯嘉,聯嘉:公告聯嘉股份有限公司國內第一次有擔保轉換公司債(簡稱：聯嘉一，代碼：62881)因於111年12月25日到期暨訂於111年12月26日終止櫃檯買賣等相關事宜。,2022-11-25
地心引力,地心引力:地心引力股份有限公司（公司代號：3629）註銷收回股票事宜。,2022-11-25
臺慶科,臺慶科:代非公開發行公司之取得人依證交法43條之1第1規定辦理公告,2022-11-25
承業醫,承業醫:承業生醫投資控股股份有限公司（公司代號：4164） 員工認股權憑證於 111 年第 3 季行使所發行之普通股股票已上市股數。,2022-11-25
巨大,巨大:巨大機械工業股份有限公司（公司代號：9921）111年現金增資股款繳納憑證上市開始買賣日期。,2022-11-25
為升,為升:為升電裝工業股份有限公司（公司代號：2231）111年除權配股股票上市掛牌日期。,2022-11-25
