code,content,date
西勝1,西勝10月營收0.57億元年減56.11% 1—10月達13.71億元,2022-11-04
元禎1,元禎10月營收6.50億元年減32.75% 1—10月達78.30億元,2022-11-04
鴻海,鴻海:鴻海精密工業股份有限公司一百零六年度第三期無擔保普通公司債丙券付息公告,2022-11-04
鴻海,鴻海:鴻海精密工業股份有限公司一百零六年度第三期無擔保普通公司債丁券付息公告,2022-11-04
鴻海,鴻海:鴻海精密工業股份有限公司一百零六年度第三期無擔保普通公司債乙券還本付息公告,2022-11-04
鴻海,鴻海:鴻海精密工業股份有限公司一百零六年度第三期無擔保普通公司債乙券終止櫃檯買賣公告。,2022-11-04
鴻海,鴻海:鴻海精密工業股份有限公司一百零六年度第三期無擔保普通公司債乙券終止櫃檯買賣公告,2022-11-04
宜鼎1,宜鼎10月營收8.64億元年增7.9% 1—10月達88.80億元,2022-11-04
鈊象1,鈊象10月營收10.42億元年增2.05% 1—10月達98.23億元,2022-11-04
鴻準1,鴻準10月營收86.69億元年減25.57% 1—10月達690.20億元,2022-11-04
聯光通,聯光通:公告本公司處分(轉租)使用權資產予聯瑞科技股份有限公司,2022-11-04
聯光通,聯光通:公告本公司董事會通過111年第三季合併財務報告,2022-11-04
及成,及成:本公司代子公司及成科技(馬)有限公司公告新增資金貸與金額達新臺幣一千萬元以上且達該公開發行公司最近期財務報表淨值百分之二以上者,2022-11-04
中電1,中電10月營收1.28億元年減13.48% 1—10月達13.06億元,2022-11-04
長榮,長榮:依證券交易法第43條之1第1項規定辦理公告,2022-11-04
春源,春源:公告本公司董事會決議解除新委任之非原任經理人競業禁止案,2022-11-04
春源,春源:公告本公司提報董事會一一一年第三季合併財務報告,2022-11-04
高力,高力:公告本公司董事會通過111年第三季合併財務報告,2022-11-04
TPK-KY,TPK-KY:子公司TPK Universal Solutions Limited對本公司美元10000萬之資金貸與案(符合第一項第二、三款),2022-11-04
TPK-KY,TPK-KY:子公司TPK Universal Solutions Limited對子公司宸鴻光電科技股份有限公司美元3000萬之資金貸與案(符合第一項第二、三款),2022-11-04
及成,及成:公告本公司董事會決議111年第1次私募特別股定價及相關事宜,2022-11-04
TPK-KY,TPK-KY:子公司宸鴻科技(廈門)有限公司對子公司宸新科技(廈門)有限公司美元3000萬之資金貸與案(符合第一項第三款),2022-11-04
TPK-KY,TPK-KY:子公司廈門京嘉光電科技有限公司對子公司宸鴻科技(廈門)有限公司美元7000萬之資金貸與案(符合第一項第二、三款),2022-11-04
TPK-KY,TPK-KY:代子公司公告將宸鴻科技(廈門)有限公司股權以股作價增資Optera TPK Holding Pte. Ltd.,2022-11-04
廣運,廣運:公告本公司董事會通過111年第三季合併財務報告,2022-11-04
廣運,"廣運:公告董事會決議資金貸與子公司-廣運機電(蘇州)有限公司人民幣3,000萬元案。",2022-11-04
廣運,廣運:代子公司廣運科技(蘇州)有限公司公告共同參與投資設立新公司,2022-11-04
TPK-KY,"TPK-KY:代子公司Amplifi Tech Hong Kong Co., Limited公告董事會決議新設子公司",2022-11-04
TPK-KY,TPK-KY:公告本公司111年第3季合併財務報告業經提報董事會通過,2022-11-04
TPK-KY,TPK-KY:公告本公司董事會決議終止海外存託憑證(GDR)於盧森堡證券交易所之發行,2022-11-04
長榮,長榮:本公司公告取得有價證券,2022-11-04
春源,春源:公告本公司「公司治理主管」異動,2022-11-04
宏璟,宏璟:公告本公司董事會通過對財團法人日月光環保永續基金會捐贈事宜,2022-11-04
北基,北基:自111年8月1日起至111年10月31日止，因可轉換公司債而發行新股之情形。,2022-11-04
有益1,有益10月營收3.07億元年增12.99% 1—10月達28.36億元,2022-11-04
達方1,達方10月營收24.27億元年增4.42% 1—10月達251.69億元,2022-11-04
長華*1,長華*10月營收17.17億元年減6.5% 1—10月達187.05億元,2022-11-04
科懋1,科懋10月營收0.48億元年減56.04% 1—10月達5.52億元,2022-11-04
高僑1,高僑10月營收0.71億元年增5.5% 1—10月達11.56億元,2022-11-04
懷特1,懷特10月營收0.10億元年減45.13% 1—10月達1.11億元,2022-11-04
加百裕1,加百裕10月營收9.32億元年減11.01% 1—10月達94.85億元,2022-11-04
景碩1,景碩10月營收36.05億元年增9.6% 1—10月達366.17億元,2022-11-04
綠意1,綠意10月營收0.07億元年減97.93% 1—10月達3.25億元,2022-11-04
瑞軒1,瑞軒10月營收12.37億元年減46.04% 1—10月達140.07億元,2022-11-04
虹光1,虹光10月營收2.56億元年增31.4% 1—10月達24.28億元,2022-11-04
南港1,南港10月營收4.99億元年減17.06% 1—10月達63.91億元,2022-11-04
長榮,長榮:代本公司之子公司長榮香港有限公司公告出租貨櫃(融資租賃),2022-11-04
東和1,東和10月營收0.47億元年減34.2% 1—10月達5.95億元,2022-11-04
鮮活果汁-KY1,鮮活果汁-KY10月營收1.43億元年減41.67% 1—10月達35.80億元,2022-11-04
雃博,雃博:公告本公司薪酬委員會委員異動,2022-11-04
長榮,長榮:代本公司之子公司Evergreen Marine (Asia) Pte. Ltd.公告取得貨櫃使用權資產,2022-11-04
雙鴻,雙鴻:公告本公司董事會通過111年第3季合併財務報告,2022-11-04
兆利,兆利:公告本公司資金貸與達公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款規定公告事宜,2022-11-04
雙鴻,雙鴻:資金貸與達處理準則第二十二條第一項第三款應公告申報事項,2022-11-04
今展科,今展科:代子公司廣州市今耀電子有限公司.依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款應公告事項,2022-11-04
兆利,兆利:代子公司兆順精密科技(股)公司公告向關係人取得使用權資產,2022-11-04
今展科,今展科:本公司向關係人取得不動產使用權資產,2022-11-04
