代碼,商品,新聞內容,日期
2887,台新金,台新金:台新金控代子公司台新投信公告董事會代行股東會重要決議事項,2023-06-02
2887,台新金,台新金:台新金控代子公司台新投信公告配息除權基準日,2023-06-02
2891,中信金,中信金:(更正112/5/31公告)代子公司CTBC Asia Limited公告通過解除董事競業,2023-06-02
3004,豐達科,豐達科5月營收2.34億元年增20.16% 1—5月達11.62億元,2023-06-02
2457,飛宏,飛宏:公告本公司資金貸與金額達公開發行公司資金貸與及背書保證處理準則第22條第一項第三款,2023-06-02
2457,飛宏,飛宏:公告本公司董事會決議增資子公司 Zerova Technologies Holdings Limited,2023-06-02
2457,飛宏,飛宏:代子公司Zerova Technologies Holdings Limited公告增資Zerova Technologies SG Pte. Ltd.,2023-06-02
2457,飛宏,飛宏:代子公司Zerova Technologies SG Pte. Ltd.公告增資Zerova Technologies America Corporation,2023-06-02
2457,飛宏,飛宏:代子公司Zerova Technologies America Corporation公告增資Zerova Technologies USA LLC,2023-06-02
2317,鴻海,鴻海:代子公司富士康工業互聯網股份有限公司公告股東大會重要決議,2023-06-02
2317,鴻海,鴻海:代子公司富士康工業互聯網股份有限公司公告股東大會補選監事,2023-06-02
1101,台泥,台泥:公告本公司108年度第1次無擔保普通公司債付息事宜,2023-06-02
1101,台泥,台泥:公告本公司107年度第1次無擔保普通公司債付息事宜,2023-06-02
4116,明基醫,明基醫:公告本公司現金股利配息基準日及發放日,2023-06-02
3131,弘塑,弘塑:本公司有價證券近期多次達公布注意交易資訊標準，故公告相關訊息，以利投資人區別暸解,2023-06-02
8374,羅昇,羅昇5月營收2.70億元年減19.73% 1—5月達13.46億元,2023-06-02
5543,桓鼎-KY,桓鼎-KY:更正111年第三季、111年度、112年第一季合併財務報告之內容及iXBRL申報資訊/111年7月-12月、112年1月-4月之營業收入,2023-06-02
6446,藥華藥,藥華藥:本公司與Pint-Pharma GmbH簽訂Ropeginterferonalfa-2b（P1101）產品於拉丁美洲地區七國之商業授權合約,2023-06-02
4961,天鈺,天鈺5月營收15.18億元年減18.5% 1—5月達69.24億元,2023-06-02
4153,鈺緯,鈺緯5月營收0.76億元年增6.74% 1—5月達3.90億元,2023-06-02
3625,西勝,西勝5月營收1.00億元年減49.78% 1—5月達4.21億元,2023-06-02
2608,嘉里大榮,嘉里大榮:公告本公司獨立董事辭任,2023-06-02
2342,茂矽,茂矽:本公司經理人職務異動公告,2023-06-02
2358,廷鑫,廷鑫:有關檢調單位至本公司進行調查事宜,2023-06-02
2891,中信金,"中信金:代台灣人壽公告核准投資TA XV-B, L.P.",2023-06-02
2891,中信金,"中信金:代台灣人壽公告核准投資Crestview Partners V (Offshore), L.P.",2023-06-02
6024,群益期,群益期:群益期代子公司群益期貨(香港)公告董事會決議不分派股利,2023-06-02
6024,群益期,群益期:群益期代子公司群益期貨(香港)公告召開2023年周年股東大會相關事宜,2023-06-02
3004,豐達科,豐達科:公告本公司董事會推選董事長,2023-06-02
3004,豐達科,豐達科:公告本公司董事會決議委任第五屆薪資報酬委員會委員,2023-06-02
6584,南俊國際,南俊國際:公告本公司現金股利分派基準日,2023-06-02
6584,南俊國際,南俊國際:本公司112年股東常會通過解除董事競業禁止之限制,2023-06-02
6584,南俊國際,南俊國際:公告本公司董事會決議辦理限制員工權利新股收回註銷減資事宜,2023-06-02
2608,嘉里大榮,嘉里大榮:公告本公司審計委員辭任,2023-06-02
3511,矽瑪,矽瑪5月營收1.73億元年減48.9% 1—5月達11.11億元,2023-06-02
2547,日勝生,日勝生:代子公司萬達通實業(股)公司公告112年股東常會決議事項,2023-06-02
8171,天宇,天宇:有關檢調單位至本公司進行調查說明,2023-06-02
2241,艾姆勒,艾姆勒5月營收0.70億元年增27.1% 1—5月達3.08億元,2023-06-02
3167,大量,大量5月營收0.88億元年減60.01% 1—5月達4.29億元,2023-06-02
3380,明泰,明泰5月營收24.56億元年增4.31% 1—5月達128.79億元,2023-06-02
6266,泰詠,泰詠:本公司一一二年度盈餘轉增資發行新股暨分派現金股利（分配一一一年度盈餘）公告,2023-06-02
2891,中信金,中信金:代子公司中國信託商業銀行公告112年現金股利「配息基準日」,2023-06-02
2317,鴻海,鴻海:鴻海精密工業股份有限公司一百零五年度第一期無擔保普通公司債己券終止櫃檯買賣公告,2023-06-02
2317,鴻海,鴻海:鴻海精密工業股份有限公司一百零五年度第一期無擔保普通公司債己券還本付息公告,2023-06-02
2317,鴻海,鴻海:鴻海精密工業股份有限公司一百零五年度第一期無擔保普通公司債己券終止櫃檯買賣公告。,2023-06-02
2397,友通,友通5月營收12.06億元年增7.92% 1—5月達62.12億元,2023-06-02
2342,茂矽,茂矽:公告本公司董事會決議通過解除經理人競業禁止之限制,2023-06-02
6472,保瑞,保瑞:代重要子公司安成國際藥業股份有限公司公告Dicyclomine HCl Tablets學名藥獲得US FDA審查核可,2023-06-02
2546,根基,根基:公告本公司審計委員會委員任期屆滿及新任名單,2023-06-02
